countrycode,countryname,name_1,name_2,mean_light,sum_light
AGO,Angola,Bengo,Ambriz,.041784547,192
AGO,Angola,Bengo,Dande,.55420548,4698
AGO,Angola,Bengo,Icolo e Bengo,1.7139468,7226
AGO,Angola,Bengo,Muxima,.050629858,840
AGO,Angola,Bengo,Nambuangongo,0,0
AGO,Angola,Benguela,BaÝa Farta,.26436642,2176
AGO,Angola,Benguela,Balombo,.12762621,407
AGO,Angola,Benguela,Benguela,2.9187479,8298
AGO,Angola,Benguela,Bocoio,.064453997,435
AGO,Angola,Benguela,Caiambambo,.095806926,393
AGO,Angola,Benguela,Chongoroi,.081197172,586
AGO,Angola,Benguela,Cubal,.16689306,860
AGO,Angola,Benguela,Ganda,.12114225,683
AGO,Angola,Benguela,Lobito,2.3081245,9858
AGO,Angola,BiÚ,Andulo,.050981037,621
AGO,Angola,BiÚ,Camacupa,.060215052,672
AGO,Angola,BiÚ,Catabola,.11890674,422
AGO,Angola,BiÚ,Chinguar,.072653063,267
AGO,Angola,BiÚ,Chitembo,.0096308868,227
AGO,Angola,BiÚ,Cuemba,.0064718933,105
AGO,Angola,BiÚ,Cunhinga,.042330261,101
AGO,Angola,BiÚ,Kuito,.76188755,4214
AGO,Angola,BiÚ,Nharea,.02880141,229
AGO,Angola,Cabinda,Belize,.079506509,116
AGO,Angola,Cabinda,Buco Zau,.21155517,487
AGO,Angola,Cabinda,Cabinda,5.1167531,14813
AGO,Angola,Cabinda,Landana,.69917744,1190
AGO,Angola,Cuando Cubango,Calai,.069377251,674
AGO,Angola,Cuando Cubango,Cuangar,.033645179,784
AGO,Angola,Cuando Cubango,Cuchi,.013778151,197
AGO,Angola,Cuando Cubango,Cuito Cuanavale,.0090014851,388
AGO,Angola,Cuando Cubango,Dirico,.0095402915,215
AGO,Angola,Cuando Cubango,Mavinga,.0017961719,96
AGO,Angola,Cuando Cubango,Menongue,.14746217,4172
AGO,Angola,Cuando Cubango,Nancova,0,0
AGO,Angola,Cuando Cubango,Rivungo,0,0
AGO,Angola,Cuanza Norte,Ambaca,.067235582,260
AGO,Angola,Cuanza Norte,Banga,.19161677,224
AGO,Angola,Cuanza Norte,Bolongongo,0,0
AGO,Angola,Cuanza Norte,Bula Atumba,.10044786,157
AGO,Angola,Cuanza Norte,Cambambe,.38540596,1875
AGO,Angola,Cuanza Norte,Cazengo,.98871422,2453
AGO,Angola,Cuanza Norte,Dembos,.23171481,377
AGO,Angola,Cuanza Norte,Golungo Alto,.078468896,164
AGO,Angola,Cuanza Norte,Lucala,.15526472,261
AGO,Angola,Cuanza Norte,Ngonguembo,.048549436,82
AGO,Angola,Cuanza Norte,Pango AluquÚm,.022596367,51
AGO,Angola,Cuanza Norte,Quiculungo,.64092666,166
AGO,Angola,Cuanza Norte,Samba Caj·,.054905783,169
AGO,Angola,Cuanza Sul,Amboim,1.4310089,1929
AGO,Angola,Cuanza Sul,Cassongue,.03627485,208
AGO,Angola,Cuanza Sul,Conda,.087383181,187
AGO,Angola,Cuanza Sul,Ebo,.028258119,67
AGO,Angola,Cuanza Sul,Libolo,.091389172,623
AGO,Angola,Cuanza Sul,Mussende,.016537545,222
AGO,Angola,Cuanza Sul,Porto Amboim,.33592018,1515
AGO,Angola,Cuanza Sul,Quibala,.054601122,642
AGO,Angola,Cuanza Sul,Quilenda,0,0
AGO,Angola,Cuanza Sul,Seles,.075416051,358
AGO,Angola,Cuanza Sul,Sumbe,.80874205,3941
AGO,Angola,Cuanza Sul,Waku Kungo,.27837744,1599
AGO,Angola,Cunene,Cahama,.031105228,376
AGO,Angola,Cunene,Cuanhama,.17561401,4426
AGO,Angola,Cunene,Curoca,.050673909,485
AGO,Angola,Cunene,Cuvelai,.031513728,590
AGO,Angola,Cunene,Namakunde,.16907924,2266
AGO,Angola,Cunene,Ombadja,.081252865,1240
AGO,Angola,Huambo,Bailundo,.078482822,658
AGO,Angola,Huambo,Caßla,.64100039,3255
AGO,Angola,Huambo,Catchiungo,.10293238,344
AGO,Angola,Huambo,Ekunha,.13654852,235
AGO,Angola,Huambo,Huambo,2.5545611,8849
AGO,Angola,Huambo,Londuimbale,.11183995,341
AGO,Angola,Huambo,Longonjo,.048495576,137
AGO,Angola,Huambo,Mungo,.016633775,59
AGO,Angola,Huambo,Tchicala-Tcholoanga,0,0
AGO,Angola,Huambo,Tchindjenje,.10522088,131
AGO,Angola,Huambo,Ukuma,.12639594,249
AGO,Angola,HuÝla,Caconda,.062402494,360
AGO,Angola,HuÝla,Caluquembe,.077439666,369
AGO,Angola,HuÝla,Chibia,.051617995,327
AGO,Angola,HuÝla,Chicomba,.01283594,64
AGO,Angola,HuÝla,Chipindo,.022391304,103
AGO,Angola,HuÝla,Gambos,.038287155,380
AGO,Angola,HuÝla,Humpata,2.7377911,3644
AGO,Angola,HuÝla,Jamba,.04539106,650
AGO,Angola,HuÝla,Kuvango,.017581001,191
AGO,Angola,HuÝla,Lubango,2.2058184,10160
AGO,Angola,HuÝla,Matala,.17969821,1965
AGO,Angola,HuÝla,Quilengues,.11125828,672
AGO,Angola,HuÝla,Tchipungo,.023126822,246
AGO,Angola,Luanda,Cacuaco,27.227341,18324
AGO,Angola,Luanda,Cazenga,63,2646
AGO,Angola,Luanda,Ingombota,62.9375,1007
