DHSID,GPS_Dataset,DHSCC,DHSYEAR,DHSCLUST,SurveyID,All_Population_Count_2005,All_Population_Count_2010,All_Population_Count_2015,Annual_Precipitation_2000,Annual_Precipitation_2005,Annual_Precipitation_2010,Annual_Precipitation_2015,Aridity_2000,Aridity_2005,Aridity_2010,Aridity_2015,BUILT_Population_1990,BUILT_Population_2000,BUILT_Population_2014,Day_Land_Surface_Temp_2000,Day_Land_Surface_Temp_2005,Day_Land_Surface_Temp_2010,Day_Land_Surface_Temp_2015,Diurnal_Temperature_Range_2000,Diurnal_Temperature_Range_2005,Diurnal_Temperature_Range_2010,Diurnal_Temperature_Range_2015,Drought_Episodes,Enhanced_Vegetation_Index_1985,Enhanced_Vegetation_Index_1990,Enhanced_Vegetation_Index_1995,Enhanced_Vegetation_Index_2000,Enhanced_Vegetation_Index_2005,Enhanced_Vegetation_Index_2010,Enhanced_Vegetation_Index_2015,Frost_Days_2000,Frost_Days_2005,Frost_Days_2010,Frost_Days_2015,Global_Human_Footprint,Gross_Cell_Production,Growing_Season_Length,Irrigation,ITN_Coverage_2005,ITN_Coverage_2010,ITN_Coverage_2015,Land_Surface_Temperature_2000,Land_Surface_Temperature_2005,Land_Surface_Temperature_2010,Land_Surface_Temperature_2015,Livestock_Cattle,Livestock_Chickens,Livestock_Goats,Livestock_Pigs,Livestock_Sheep,Malaria_Incidence_2000,Malaria_Incidence_2005,Malaria_Incidence_2010,Malaria_Incidence_2015,Malaria_Prevalence_2000,Malaria_Prevalence_2005,Malaria_Prevalence_2010,Malaria_Prevalence_2015,Maximum_Temperature_2000,Maximum_Temperature_2005,Maximum_Temperature_2010,Maximum_Temperature_2015,Mean_Temperature_2000,Mean_Temperature_2005,Mean_Temperature_2010,Mean_Temperature_2015,Minimum_Temperature_2000,Minimum_Temperature_2005,Minimum_Temperature_2010,Minimum_Temperature_2015,Nightlights_Composite,Night_Land_Surface_Temp2010,Night_Land_Surface_Temp2015,Night_Land_Surface_Temp_2000,Night_Land_Surface_Temp_2005,Night_Land_Surface_Temp_2010,Night_Land_Surface_Temp_2015,PET_2000,PET_2005,PET_2010,PET_2015,Proximity_to_National_Borders,Proximity_to_Protected_Areas,Proximity_to_Water,Rainfall_1985,Rainfall_1990,Rainfall_1995,Rainfall_2000,Rainfall_2005,Rainfall_2010,Rainfall_2015,Slope,SMOD_Population_1990,SMOD_Population_2000,SMOD_Population_2015,Temperature_April,Temperature_August,Temperature_December,Temperature_February,Temperature_January,Temperature_July,Temperature_June,Temperature_March,Temperature_May,Temperature_November,Temperature_October,Temperature_September,Travel_Times_2000,Travel_Times_2015,U5_Population_2000,U5_Population_2005,U5_Population_2010,U5_Population_2015,UN_Population_Count_2000,UN_Population_Count_2005,UN_Population_Count_2010,UN_Population_Count_2015,UN_Population_Density_2000,UN_Population_Density_2005,UN_Population_Density_2010,UN_Population_Density_2015,Wet_Days_2000,Wet_Days_2005,Wet_Days_2010,Wet_Days_2015
RW201000000001,RWGE61FL,RW,2010.0,1.0,RW2010DHS,162627.9375,185834.34375,209592.34375,92.26667022705078,86.63333129882812,113.86666870117188,113.26667022705078,30.334245681762695,26.58823585510254,35.676239013671875,37.340660095214844,0.002782891225363554,0.005589794661344414,0.015401431062620145,28.514544677734374,26.730166625976562,27.561334228515626,27.211334228515625,12.541666984558105,12.266666412353516,12.491666793823242,11.483333587646484,1.0,3044.9,3066.3,3135.5,3166.5,3356.9,3429.2,3371.3,0.0,0.0,0.0,0.0,33.37362637362637,664.1766357421875,11.0,1.8443907101949055,0.15880889610876636,0.4480035392533113,0.7715127074332677,21.389999389648438,20.89025115966797,21.30266876220703,21.148748779296874,33.808384486607146,21.824280455872252,80.14242251888736,6.113587096497253,1.9164039695655906,0.1729090372721354,0.08660949071248372,0.05510617097218831,0.04785797198613485,0.11888704299926758,0.048513325055440266,0.028881744543711344,0.025489175319671632,26.416667938232422,27.041667938232422,26.633333206176758,25.78333282470703,20.116666793823242,20.883333206176758,20.358333587646484,20.016666412353516,13.875,14.77500057220459,14.141666412353516,14.300000190734863,0.19575821780319058,15.044000244140625,15.086166381835938,14.2654541015625,15.050332641601562,15.044000244140625,15.086166381835938,3.0416667461395264,3.258333444595337,3.191666603088379,3.0333333015441895,26770.88937,27352.15172,39327.47436,1192.2222222222222,1110.4444444444443,1201.111111111111,965.3333333333334,1060.5555555555557,1294.2222222222222,1175.7777777777778,3.882420466496394,0.0,0.0,1.0,18.584665934244793,19.53766632080078,18.63133494059245,18.71533457438151,18.816665649414062,18.66766611735026,18.249666849772137,18.69566599527995,18.469332377115887,18.328999837239582,18.95366668701172,19.489667256673176,152.5164835164835,51.08516483516483,59.514555809620596,66.83234883130082,76.36907181571816,86.13248962567751,148156.703125,160600.71875,174999.5,185659.4375,473.44029017857144,513.2054429945055,559.2172046703297,593.2812929258242,13.988332748413086,13.524166107177734,15.674166679382324,15.180832862854004
RW201000000002,RWGE61FL,RW,2010.0,2.0,RW2010DHS,119486.5859375,136536.875,153992.453125,70.6500015258789,68.4000015258789,89.39167022705078,101.38333129882812,24.085227966308594,21.82978630065918,28.991891860961914,35.060516357421875,0.0002966720658617142,0.0005950967852885907,0.0016072306495446425,29.96272693980824,28.513483220880683,27.76424061168324,28.62242265181108,13.25,13.074999809265137,13.133333206176758,12.258333206176758,-9999,3187.4545454545455,3208.909090909091,3244.4545454545455,3363.3636363636365,3461.909090909091,3650.181818181818,3460.2727272727275,0.0,0.0,0.0,0.0,26.552197802197803,859.5296875,11.0,0.0,0.17228684545416062,0.43655994807237064,0.7532881348744803,22.58371942693537,22.139393199573863,21.793258666992188,22.200302124023438,42.3919948630137,139.64124571917807,46.307833904109586,10.12419868364726,64.43621040239726,0.2932305932044983,0.11906961351633072,0.049213655292987823,0.03708238899707794,0.23211388289928436,0.07030389457941055,0.02507869154214859,0.018891815096139908,26.41666603088379,27.116666793823242,26.65833282470703,25.83333396911621,19.75,20.558334350585938,20.058334350585938,19.666667938232422,13.166666984558105,14.041666984558105,13.52500057220459,13.574999809265137,0.005103459624931887,15.822273947975852,15.778181596235795,15.204710526899857,15.765303178267045,15.822273947975852,15.778181596235795,2.933333396911621,3.133333444595337,3.0833334922790527,2.8916666507720947,55096.67117,40841.57241,27267.65527,959.3,904.0,887.3,761.3,949.9,1022.3,844.7,4.082619528574487,1.0,0.0,0.0,19.923999786376953,20.509750366210938,19.651748657226562,19.88774871826172,20.144750595092773,19.861249923706055,19.576499938964844,19.867000579833984,19.900501251220703,19.509498596191406,20.096750259399414,20.3799991607666,108.21643835616439,26.035616438356165,48.53037482923497,54.49757727117486,62.274173924180324,70.2356343920765,105083.3359375,121824.421875,142683.109375,163451.34375,352.42061215753426,408.95659246575343,479.42842465753426,549.7129280821918,14.545832633972168,14.426666259765625,16.858333587646484,16.532499313354492
RW201000000003,RWGE61FL,RW,2010.0,3.0,RW2010DHS,113063.5390625,129197.28125,145714.53125,106.73332977294922,98.32500457763672,132.8249969482422,151.9499969482422,38.930091857910156,33.330509185791016,45.80172348022461,56.45201110839844,0.0012439030940365639,0.0029111502656511442,0.009693801023398235,21.308909606933593,21.054501342773438,21.49433288574219,20.946165466308592,12.041666984558105,11.791666984558105,11.991666793823242,10.966667175292969,-9999,3379.4,3363.5,3381.3,3581.0,3931.3,3906.5,3908.9,0.0,0.0,0.0,0.0,34.98641304347826,728.0853515625,13.0,0.0,0.06219552017658922,0.37126512830633396,0.677782517644382,15.273910522460938,15.42650146484375,16.052333068847656,15.167500305175782,66.37352454144022,27.714334239130434,68.7057415506114,20.63102390455163,91.48324983016305,0.14363065361976624,0.06525588035583496,0.033077411353588104,0.04614521190524101,0.09215738624334335,0.034681063145399094,0.01651023142039776,0.024087270721793175,24.491666793823242,25.200000762939453,24.741666793823242,23.633333206176758,18.441667556762695,19.28333282470703,18.71666717529297,18.141666412353516,12.449999809265137,13.408333778381348,12.75,12.666666984558105,0.0004773117262518057,10.610333251953126,9.388833618164062,9.238909149169922,9.798500061035156,10.610333251953126,9.388833618164062,2.741666793823242,2.950000047683716,2.9000000953674316,2.691666603088379,34140.49802,8592.567351,17205.35124,1323.0,1417.7,1352.0,1018.9,1051.2,1463.7,1269.9,5.816416201384171,0.0,0.0,1.0,15.273999214172363,15.525249481201172,15.39050006866455,15.577499389648438,15.604499816894531,15.221750259399414,14.923250198364258,15.521249771118164,15.031999588012695,15.11050033569336,15.507499694824219,15.72350025177002,438.5842391304348,79.5570652173913,49.05708644701087,55.089058254076086,62.95005731997283,70.99791949728261,104046.015625,115398.0625,128489.8203125,139117.03125,328.7259043817935,364.59188179347825,405.95444123641306,439.5305281929348,14.713333129882812,14.09666633605957,16.786666870117188,16.56166648864746
RW201000000004,RWGE61FL,RW,2010.0,4.0,RW2010DHS,97472.078125,113336.1640625,130376.9765625,66.125,63.59166717529297,84.93333435058594,86.99166870117188,21.15999984741211,19.077499389648438,26.0,28.36684799194336,2.8576499162600243e-05,0.00036474770928030887,0.002847067565195944,31.18515353732639,29.650000678168404,29.303517659505207,29.020924886067707,12.600000381469727,12.425000190734863,12.483333587646484,11.591667175292969,-9999,3513.6666666666665,3555.4444444444443,3589.777777777778,3624.5555555555557,3786.777777777778,3791.5555555555557,3705.6666666666665,0.0,0.0,0.0,0.0,32.83606557377049,606.2843017578125,10.0,0.2399926483631134,0.14742086889598996,0.44088581556738204,0.7645254992251751,23.209496392144096,22.81990729437934,22.795369466145832,22.736480712890625,26.061893307220707,129.2298620572207,60.573894116144416,6.611131881173365,19.220154972752045,0.3791278004646301,0.17398998141288757,0.12989911437034607,0.12607383728027344,0.33614611625671387,0.1187203973531723,0.08042719960212708,0.0790867805480957,27.633333206176758,28.325000762939453,27.875,27.058334350585938,21.316667556762695,22.100000381469727,21.600000381469727,21.233333587646484,15.033333778381348,15.90000057220459,15.391667366027832,15.466667175292969,0.0,16.287221272786457,16.452036539713543,15.233839246961805,15.989813910590279,16.287221272786457,16.452036539713543,3.125,3.3333334922790527,3.2666666507720947,3.066666603088379,3141.41696,49519.92662,16789.82646,1115.7777777777778,988.0,970.0,813.1111111111111,846.4444444444445,1112.6666666666667,903.1111111111111,3.514166475966451,1.0,0.0,0.0,20.344249725341797,20.921249389648438,20.128999710083008,20.27975082397461,20.382749557495117,20.20425033569336,20.065000534057617,20.163000106811523,20.339750289916992,19.807498931884766,20.6302490234375,21.167499542236328,422.0653950953678,50.11171662125341,42.747611957821036,48.91343280396175,56.96346695696721,65.64404030054645,73205.140625,94038.28125,124630.796875,166101.375,232.22654121253407,298.2852946185286,395.27920640326977,526.7435286103542,13.324999809265137,13.544166564941406,15.47583293914795,15.633333206176758
RW201000000005,RWGE61FL,RW,2010.0,5.0,RW2010DHS,87636.15625,100141.5,112944.109375,66.80000305175781,66.42500305175781,88.50833892822266,89.30833435058594,20.82077980041504,19.633005142211914,26.486284255981445,28.2026309967041,0.0021638519510962188,0.005738103504732874,0.019112878290403312,31.881917317708332,29.517591688368057,29.333146837022568,29.5816650390625,13.100000381469727,12.90000057220459,13.008333206176758,12.108333587646484,-9999,3508.5555555555557,3457.5555555555557,3453.1111111111113,3580.4444444444443,3679.5555555555557,3751.0,3738.222222222222,0.0,0.0,0.0,0.0,29.479674796747968,629.4412109375,11.0,0.7284383773803711,0.12964897976637335,0.41280112151469794,0.7321316655752506,24.06868659125434,23.20722113715278,23.030741373697918,23.218054877387154,27.79225154556233,147.43427125677508,90.76374068428184,6.268210641090786,6.9241602621104335,0.2443772852420807,0.10548541694879532,0.048376619815826416,0.08723349869251251,0.19001050293445587,0.06230451539158821,0.025092288851737976,0.05058889091014862,28.25,28.933334350585938,28.483333587646484,27.666667938232422,21.67500114440918,22.45833396911621,21.95833396911621,21.575000762939453,15.149999618530273,16.03333282470703,15.475000381469727,15.558333396911621,0.03281880333310082,16.72833251953125,16.854444715711807,16.255455864800346,16.896852281358505,16.72833251953125,16.854444715711807,3.2083334922790527,3.383333444595337,3.3416666984558105,3.1666667461395264,18347.39021,56349.52959,16924.45982,1057.5555555555557,997.4444444444445,922.0,737.4444444444445,955.7777777777778,1090.6666666666667,848.1111111111111,2.373243378429878,0.0,0.0,0.0,20.66899871826172,21.285749435424805,20.523000717163086,20.601999282836914,20.76850128173828,20.525501251220703,20.113250732421875,20.658750534057617,20.52375030517578,20.34149932861328,20.976749420166016,21.40224838256836,144.51761517615176,33.79132791327913,34.139720478995905,38.337479721653004,43.80808945952869,49.408742102117486,78056.984375,94473.7421875,115203.3984375,137120.0625,245.98998560298102,297.72590616531164,363.0535653794038,432.1219512195122,13.234999656677246,13.375832557678223,15.619999885559082,15.219999313354492
RW201000000006,RWGE61FL,RW,2010.0,6.0,RW2010DHS,5707.125,6521.509765625,7355.25390625,66.80000305175781,66.42500305175781,88.50833892822266,89.30833435058594,20.82077980041504,19.633005142211914,26.486284255981445,28.2026309967041,0.005259994130868178,0.00926009794840446,0.044594599650456354,30.742727279663086,28.4950008392334,28.274999618530273,29.0,13.100000381469727,12.90000057220459,13.008333206176758,12.108333587646484,-9999,2838,2857,2980,3223,3204,3053,3137,0.0,0.0,0.0,0.0,35.714285714285715,606.2842407226562,11.0,0.0,0.1779971284899829,0.42069719299916875,0.7391459212481695,23.060909271240234,22.2641658782959,22.357500076293945,22.607500076293945,16.048141479492188,299.48646763392856,36.954764229910715,0.0,12.808036804199219,0.271651953458786,0.10854842513799667,0.037516675889492035,0.058088745921850204,0.2205980271100998,0.06457438319921494,0.01916106976568699,0.03153795003890991,28.25,28.933334350585938,28.483333587646484,27.666667938232422,21.67500114440918,22.45833396911621,21.95833396911621,21.575000762939453,15.149999618530273,16.03333282470703,15.475000381469727,15.558333396911621,0.13671817779541015,16.440000534057617,16.21500015258789,15.379091262817383,16.03333282470703,16.440000534057617,16.21500015258789,3.2083334922790527,3.383333444595337,3.3416666984558105,3.1666667461395264,35617.62347,64137.61883,19697.8735,1060.0,978.0,932.0,743.0,1026.0,1097.0,864.0,3.309037344796317,0.0,1.0,2.0,20.719999313354492,21.29599952697754,20.4950008392334,20.605998992919922,20.81399917602539,20.516000747680664,20.1560001373291,20.663000106811523,20.59600067138672,20.32900047302246,20.9689998626709,21.29400062561035,30.642857142857142,7.428571428571429,46.278377278645834,51.968684895833334,59.38441569010417,66.97642008463542,3672.906494140625,5416.353515625,8015.51220703125,11530.53515625,305.05311802455356,449.8550502232143,665.7280970982143,957.6681780133929,13.234999656677246,13.375832557678223,15.619999885559082,15.219999313354492
RW201000000007,RWGE61FL,RW,2010.0,7.0,RW2010DHS,119189.421875,136197.28125,153609.453125,93.07500457763672,89.125,118.45000457763672,133.48333740234375,34.90312576293945,31.271930694580078,42.053253173828125,50.52996826171875,0.0020463655865381636,0.003322795459202358,0.007029043682037838,27.403271484375,26.33599853515625,25.85966796875,25.911166381835937,12.316666603088379,12.100000381469727,12.266666412353516,11.283333778381348,-9999,3361.4,3402.5,3435.2,3411.3,3642.2,3783.6,3733.6,0.0,0.003333333181217313,0.0,0.0,37.0455764075067,728.0853794642857,13.0,0.0,0.10852984797086675,0.38805395589491537,0.6980467857723376,20.869363403320314,20.532083129882814,20.43558349609375,20.357083129882813,23.165401335685484,28.987635458669356,106.38191994287635,11.252433530745968,60.0193842405914,0.22069472074508667,0.10134463012218475,0.04744531214237213,0.048856429755687714,0.1635575294494629,0.058701422065496445,0.024415770545601845,0.02598346397280693,23.691667556762695,24.391666412353516,23.975000381469727,23.05000114440918,17.508333206176758,18.316667556762695,17.816667556762695,17.391666412353516,11.375,12.291666984558105,11.708333969116211,11.766666412353516,0.005156331880865695,15.011500549316406,14.802999877929688,14.335455322265625,14.728166198730468,15.011500549316406,14.802999877929688,2.6666667461395264,2.8500001430511475,2.816666603088379,2.6416666507720947,34280.98127,36800.94345,24273.71345,1197.9,1347.6,1162.1,830.3,986.5,1320.3,1086.2,6.858060447118616,0.0,0.0,0.0,18.4250005086263,19.286000569661457,18.41433334350586,18.76666768391927,18.78100077311198,18.674001057942707,18.18000030517578,18.660999298095703,18.284000396728516,18.373332977294922,18.88866678873698,19.045000712076824,261.88440860215053,53.22043010752688,47.273458557951486,53.0861164925876,60.66129864386792,68.41655786725067,107866.1171875,112334.1640625,117778.796875,120445.15625,337.10643481182797,351.07029149865593,368.0862315188172,376.419438844086,15.032499313354492,14.69083309173584,17.373332977294922,16.879165649414062
RW201000000008,RWGE61FL,RW,2010.0,8.0,RW2010DHS,137287.0625,156877.375,176933.40625,93.07500457763672,89.125,118.45000457763672,133.48333740234375,34.90312576293945,31.271930694580078,42.053253173828125,50.52996826171875,0.0012878220916170426,0.00235506845197467,0.007916426432997647,27.190807766384548,26.321482340494793,25.732037014431423,25.925184461805557,12.316666603088379,12.100000381469727,12.266666412353516,11.283333778381348,-9999,3189.8888888888887,3219.1111111111113,3240.0,3300.777777777778,3405.4444444444443,3814.0,3665.777777777778,0.0,0.003333333181217313,0.0,0.0,33.455525606469,763.1372395833333,13.0,0.0,0.13287053322207026,0.39170772850268126,0.699119601783864,20.563232421875,20.306111653645832,20.17175971137153,20.19638909233941,57.05121820249326,44.722893151954175,87.80548770215633,10.657947139277292,23.670443059299192,0.23768685414240912,0.10021627866304837,0.04053071828988882,0.04193742458636944,0.18016136609590971,0.05764335852402907,0.02066251177054185,0.021940951163952168,23.691667556762695,24.391666412353516,23.975000381469727,23.05000114440918,17.508333206176758,18.316667556762695,17.816667556762695,17.391666412353516,11.375,12.291666984558105,11.708333969116211,11.766666412353516,0.020212267987677942,14.611482408311632,14.467592027452257,13.935656229654947,14.290740966796875,14.611482408311632,14.467592027452257,2.6666667461395264,2.8500001430511475,2.816666603088379,2.6416666507720947,32360.39004,50134.45246,33325.91797,1237.3333333333333,1291.7777777777778,1122.6666666666667,853.7777777777778,1095.7777777777778,1245.2222222222222,1041.2222222222222,6.976240050117925,0.0,0.0,1.0,17.9163335164388,18.54333241780599,17.94499969482422,18.12566630045573,18.26800028483073,18.00366719563802,17.550333658854168,18.108333587646484,17.767333984375,17.832332611083984,18.285999298095703,18.48900095621745,147.36388140161725,29.641509433962263,54.215894214527026,60.882179054054056,69.56983741554055,78.46400971283784,129399.8125,135880.953125,143373.65625,147241.96875,405.49473551212935,425.8045822102426,449.2844508086253,461.4065869272237,15.032499313354492,14.69083309173584,17.373332977294922,16.879165649414062
RW201000000009,RWGE61FL,RW,2010.0,9.0,RW2010DHS,88242.375,100834.2109375,113725.375,70.6500015258789,68.4000015258789,89.39167022705078,101.38333129882812,24.085227966308594,21.82978630065918,28.991891860961914,35.060516357421875,0.574585327735314,0.6106604429391714,0.8138432869544396,31.633636474609375,30.780000686645508,30.59000015258789,31.31999969482422,13.25,13.074999809265137,13.133333206176758,12.258333206176758,-9999,2568,2545,2538,2725,2567,2512,2552,0.0,0.0,0.0,0.0,51.5,859.5296630859375,11,0.0,0.13593062821737875,0.29137108211345547,0.5612586736047651,24.18181800842285,23.858333587646484,23.732500076293945,24.325834274291992,28.64083455403646,234.308349609375,43.68496907552083,0.7653957366943359,9.745267740885417,0.17016533017158508,0.058327604085206985,0.01875946670770645,0.030347881838679314,0.12757201492786407,0.03236551210284233,0.009498105384409428,0.01601761393249035,26.41666603088379,27.116666793823242,26.65833282470703,25.83333396911621,19.75,20.558334350585938,20.058334350585938,19.666667938232422,13.166666984558105,14.041666984558105,13.52500057220459,13.574999809265137,10.999360183189655,16.875,17.331666946411133,16.729999542236328,16.93666648864746,16.875,17.331666946411133,2.933333396911621,3.133333444595337,3.0833334922790527,2.8916666507720947,42092.4763,63776.64439,23915.68654,999.0,1014.0,892.0,713.0,992.0,1067.0,830.0,2.2633087158203127,3.0,3.0,3.0,20.4689998626709,21.233999252319336,20.243999481201172,20.48900032043457,20.631999969482422,20.402999877929688,20.02899932861328,20.58300018310547,20.391000747680664,20.08099937438965,20.722999572753906,21.235000610351562,10.666666666666666,0.0,689.5127604166667,774.2940104166667,884.7828125,997.898046875,42263.609375,48593.2734375,56664.1875,64962.3984375,3276.0638020833335,3766.7072916666666,4392.3234375,5035.558333333333,14.545832633972168,14.426666259765625,16.858333587646484,16.532499313354492
RW201000000010,RWGE61FL,RW,2010.0,10.0,RW2010DHS,97277.7578125,111158.921875,125370.046875,66.80000305175781,66.42500305175781,88.50833892822266,89.30833435058594,20.82077980041504,19.633005142211914,26.486284255981445,28.2026309967041,0.0008855401523529537,0.001859796614873977,0.004389771582588317,31.153635660807293,29.226666768391926,27.86347198486328,29.120834350585938,13.100000381469727,12.90000057220459,13.008333206176758,12.108333587646484,-9999,3209.5,3297.1666666666665,3358.25,3437.0833333333335,3528.25,3770.0,3566.75,0.0,0.0,0.0,0.0,32.78319783197832,656.9333333333333,11.0,0.0,0.19221192697061174,0.46335793850896556,0.79549421960437,23.58734639485677,23.000139872233074,22.255971272786457,22.8446528116862,67.9361344004065,181.13609417344173,65.68427125677506,16.734030953590786,107.96413448509485,0.2920668125152588,0.11837917566299438,0.05523932725191116,0.061816539615392685,0.24070793390274048,0.07152065634727478,0.028899233788251877,0.033737022429704666,28.25,28.933334350585938,28.483333587646484,27.666667938232422,21.67500114440918,22.45833396911621,21.95833396911621,21.575000762939453,15.149999618530273,16.03333282470703,15.475000381469727,15.558333396911621,0.015241513933454241,16.648473103841145,16.56847381591797,16.021060943603516,16.773610432942707,16.648473103841145,16.56847381591797,3.2083334922790527,3.383333444595337,3.3416666984558105,3.1666667461395264,34367.49927,42888.19006,5759.871863,1054.7,1045.9,919.9,728.3,930.6,1079.3,847.7,3.6731125746316056,0.0,0.0,0.0,20.47100067138672,21.087666829427082,20.254000345865887,20.422332763671875,20.626665751139324,20.304667154947918,19.992666880289715,20.440333048502605,20.41366704305013,20.05633290608724,20.764333089192707,21.116666158040363,188.6910569105691,26.555555555555557,34.64834847634668,38.90864554558011,44.460762150379836,50.14485497237569,85075.2265625,100199.171875,118793.828125,137336.03125,284.7863026494565,334.96484375,396.5670006793478,457.7886379076087,13.234999656677246,13.375832557678223,15.619999885559082,15.219999313354492
