DHSID,GPS_Dataset,DHSCC,DHSYEAR,DHSCLUST,SurveyID,All_Population_Count_2005,All_Population_Count_2010,All_Population_Count_2015,Annual_Precipitation_2000,Annual_Precipitation_2005,Annual_Precipitation_2010,Annual_Precipitation_2015,Aridity_2000,Aridity_2005,Aridity_2010,Aridity_2015,BUILT_Population_1990,BUILT_Population_2000,BUILT_Population_2014,Day_Land_Surface_Temp_2000,Day_Land_Surface_Temp_2005,Day_Land_Surface_Temp_2010,Day_Land_Surface_Temp_2015,Diurnal_Temperature_Range_2000,Diurnal_Temperature_Range_2005,Diurnal_Temperature_Range_2010,Diurnal_Temperature_Range_2015,Drought_Episodes,Enhanced_Vegetation_Index_1985,Enhanced_Vegetation_Index_1990,Enhanced_Vegetation_Index_1995,Enhanced_Vegetation_Index_2000,Enhanced_Vegetation_Index_2005,Enhanced_Vegetation_Index_2010,Enhanced_Vegetation_Index_2015,Frost_Days_2000,Frost_Days_2005,Frost_Days_2010,Frost_Days_2015,Global_Human_Footprint,Gross_Cell_Production,Growing_Season_Length,Irrigation,ITN_Coverage_2005,ITN_Coverage_2010,ITN_Coverage_2015,Land_Surface_Temperature_2000,Land_Surface_Temperature_2005,Land_Surface_Temperature_2010,Land_Surface_Temperature_2015,Livestock_Cattle,Livestock_Chickens,Livestock_Goats,Livestock_Pigs,Livestock_Sheep,Malaria_Incidence_2000,Malaria_Incidence_2005,Malaria_Incidence_2010,Malaria_Incidence_2015,Malaria_Prevalence_2000,Malaria_Prevalence_2005,Malaria_Prevalence_2010,Malaria_Prevalence_2015,Maximum_Temperature_2000,Maximum_Temperature_2005,Maximum_Temperature_2010,Maximum_Temperature_2015,Mean_Temperature_2000,Mean_Temperature_2005,Mean_Temperature_2010,Mean_Temperature_2015,Minimum_Temperature_2000,Minimum_Temperature_2005,Minimum_Temperature_2010,Minimum_Temperature_2015,Nightlights_Composite,Night_Land_Surface_Temp2010,Night_Land_Surface_Temp2015,Night_Land_Surface_Temp_2000,Night_Land_Surface_Temp_2005,Night_Land_Surface_Temp_2010,Night_Land_Surface_Temp_2015,PET_2000,PET_2005,PET_2010,PET_2015,Proximity_to_National_Borders,Proximity_to_Protected_Areas,Proximity_to_Water,Rainfall_1985,Rainfall_1990,Rainfall_1995,Rainfall_2000,Rainfall_2005,Rainfall_2010,Rainfall_2015,Slope,SMOD_Population_1990,SMOD_Population_2000,SMOD_Population_2015,Temperature_April,Temperature_August,Temperature_December,Temperature_February,Temperature_January,Temperature_July,Temperature_June,Temperature_March,Temperature_May,Temperature_November,Temperature_October,Temperature_September,Travel_Times_2000,Travel_Times_2015,U5_Population_2000,U5_Population_2005,U5_Population_2010,U5_Population_2015,UN_Population_Count_2000,UN_Population_Count_2005,UN_Population_Count_2010,UN_Population_Count_2015,UN_Population_Density_2000,UN_Population_Density_2005,UN_Population_Density_2010,UN_Population_Density_2015,Wet_Days_2000,Wet_Days_2005,Wet_Days_2010,Wet_Days_2015
TZ201000000001,TZGE61FL,TZ,2010.0,1.0,TZ2010DHS,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
TZ201000000002,TZGE61FL,TZ,2010.0,2.0,TZ2010DHS,15932.982421875,18617.841796875,21808.017578125,45.83333206176758,31.291667938232422,37.59166717529297,43.858333587646484,11.652542114257812,7.61663293838501,9.476890563964844,11.197872161865234,0.12458246946334839,0.17047029733657837,0.22960503896077475,33.62818145751953,34.290000915527344,34.334999084472656,34.2783317565918,12.091667175292969,12.316666603088379,12.058333396911621,11.866666793823242,9.0,2150,2124,2249,2375,2172,2344,2128,0.0,0.0,0.0,0.0,64.85714285714286,896.9465942382812,6,0.0,0.143632931941225,0.5771095959175555,0.6701216803247992,26.061819076538086,26.883333206176758,27.050832748413086,27.1825008392334,58.84167916434152,34.082449776785715,96.47581263950893,1.9338039670671736,1.7311856406075614,0.2501305043697357,0.1619413197040558,0.12112586945295334,0.10862775892019272,0.2248663753271103,0.11619297415018082,0.08154328167438507,0.06963504105806351,28.516666412353516,29.075000762939453,28.683334350585938,28.725000381469727,22.450000762939453,22.90833282470703,22.633333206176758,22.758333206176758,16.42500114440918,16.758333206176758,16.625,16.858333587646484,2.38989758100666,19.766666412353516,20.086666107177734,18.495454788208008,19.476667404174805,19.766666412353516,20.086666107177734,3.933333396911621,4.108333587646484,3.9666666984558105,3.9166667461395264,335447.9667,84014.63997,168598.9107,641,560,574,577,341,533,628,0.9370791571480888,1.0,3.0,2.0,22.636999130249023,20.358999252319336,24.194000244140625,23.246999740600586,23.516000747680664,19.860000610351562,20.833999633789062,23.22100067138672,22.024999618530273,24.07699966430664,23.082000732421875,21.739999771118164,4.428571428571429,1.2857142857142858,175.97535807291666,202.24361979166667,236.323583984375,276.81774088541664,12640.990234375,14181.7890625,16093.2578125,18207.87109375,1055.2882254464287,1183.916294642857,1343.4884207589287,1520.01953125,8.144165992736816,6.505833148956299,7.0183329582214355,8.359166145324707
TZ201000000003,TZGE61FL,TZ,2010.0,3.0,TZ2010DHS,11958.15625,13973.21875,16367.53515625,50.79166793823242,35.21666717529297,52.22500228881836,70.8499984741211,14.5119047164917,9.56108570098877,14.957039833068848,20.78728675842285,1.3409307291173032e-05,4.083288052010611e-05,0.00020289226003249736,32.82454833984375,32.033331298828124,30.397833251953124,32.9433349609375,12.033333778381348,12.175000190734863,11.666666984558105,11.558333396911621,5.0,2304.7,2350.9,2364.2,2498.0,2534.9,2617.9,2592.8,0.0,0.0,0.0,0.0,20.681198910081743,818.8712158203125,7.0,0.12000414729118347,0.15755449346828793,0.48137197557732186,0.5662649591619484,24.721273803710936,24.789083862304686,23.817166137695313,25.353582763671874,10.681017966621253,19.597374191076295,4.618624071334298,0.031098794547348645,3.2521117831445845,0.23519997596740722,0.12382325331370035,0.10667234261830648,0.06624398231506348,0.17674929300944012,0.07239634195963542,0.0613674799601237,0.0351439913113912,26.141666412353516,26.725000381469727,26.21666717529297,26.21666717529297,20.100000381469727,20.608333587646484,20.358333587646484,20.416667938232422,14.108333587646484,14.550000190734863,14.550000190734863,14.658333778381348,0.0011587982423593426,17.236500549316407,17.763833618164064,16.617999267578124,17.544833374023437,17.236500549316407,17.763833618164064,3.5,3.683333396911621,3.491666793823242,3.4083333015441895,220690.7548,21206.53977,54553.7368,759.4444444444445,803.6666666666666,623.1111111111111,708.2222222222222,478.44444444444446,735.3333333333334,616.7777777777778,2.6873910680453847,0.0,0.0,0.0,20.865249633789062,18.06999969482422,21.803499221801758,21.414249420166016,21.38949966430664,17.205249786376953,18.14324951171875,21.342750549316406,19.306751251220703,21.78700065612793,20.677499771118164,19.529251098632812,170.02724795640327,137.67574931880108,4.4641132864722595,5.130482393152573,5.9950173117897725,7.022266408338904,20066.0234375,22512.154296875,25544.796875,28902.962890625,63.751314501021795,71.52286273841962,81.15780398501363,91.8269541893733,8.841666221618652,7.635833263397217,8.639999389648438,10.204999923706055
TZ201000000004,TZGE61FL,TZ,2010.0,4.0,TZ2010DHS,7509.5146484375,8774.9375,10278.52734375,47.025001525878906,31.34166717529297,45.59166717529297,58.0,13.246479034423828,8.48984146118164,12.903302192687988,16.610977172851562,1.50651050110658e-05,8.786474428479634e-05,0.0001031349930498335,32.31363525390625,32.13200073242187,32.3163330078125,34.360833740234376,11.991666793823242,12.141666412353516,11.716667175292969,11.633333206176758,9.0,2264.6,2291.6,2338.5,2341.7,2527.6,2308.2,2379.9,0.0,0.0,0.0,0.0,27.02747252747253,825.7113560267857,7.0,0.0,0.13361250722302323,0.46952430512986154,0.5599748661655576,23.941546630859374,24.369583129882812,24.472915649414062,25.744082641601562,16.178141053082193,14.206755672089042,8.212362879922946,0.0882640054781143,2.4345897099743152,0.21418350537618,0.1735240936279297,0.09835666020711263,0.06056207815806071,0.15258922576904296,0.10976074536641439,0.05464413563410441,0.03199025789896647,26.33333396911621,26.83333396911621,26.433334350585938,26.5,20.316667556762695,20.75,20.558334350585938,20.65833282470703,14.341667175292969,14.691666603088379,14.716667175292969,14.866666793823242,0.008670790742681731,16.629501342773438,17.127334594726562,15.569454956054688,16.60716552734375,16.629501342773438,17.127334594726562,3.5500001907348633,3.691666603088379,3.5333333015441895,3.491666793823242,227123.4939,63889.8192,108880.0822,613.6666666666666,664.8333333333334,551.8333333333334,644.3333333333334,419.8333333333333,625.5833333333334,566.4166666666666,1.7553886518086472,1.0,1.0,0.0,21.134750366210938,18.465499877929688,22.011749267578125,21.783248901367188,21.753999710083008,17.504501342773438,18.441499710083008,21.70724868774414,19.47800064086914,22.232500076293945,21.152000427246094,19.97599983215332,387.8,272.3123287671233,2.9679661973232236,3.4110019059986594,3.9857881356819704,4.668754189008043,14586.30078125,16835.212890625,19715.259765625,23094.33984375,46.62255993150685,53.810873287671235,63.016534674657535,73.81730522260274,8.488332748413086,7.40749979019165,8.360833168029785,9.823332786560059
TZ201000000005,TZGE61FL,TZ,2010.0,5.0,TZ2010DHS,6863.857421875,8020.482421875,9394.7958984375,46.266666412353516,28.67500114440918,37.40833282470703,44.375,10.972332000732422,6.579349994659424,8.836614608764648,10.607569694519043,0.0,0.0,2.2938020438665434e-06,36.3707275390625,36.85816650390625,35.365167236328126,36.73399963378906,12.175000190734863,12.308333396911621,12.058333396911621,11.908333778381348,9.0,2371.1,2361.5,2390.1,2527.7,2519.8,2571.4,2584.5,0.0,0.0,0.0,0.0,21.158038147138964,930.6714564732143,6.0,0.0,0.12180130074048624,0.5261231243632081,0.6382280849353615,28.22908935546875,29.080084228515624,28.09674987792969,29.07691650390625,5.229047028914742,8.89006175165591,3.8358476058296533,0.15621814520462698,1.7279878699261209,0.29187025342668804,0.17274652208600724,0.13514449766704015,0.09513220616749354,0.2351416519709996,0.11033131395067487,0.08258771896362305,0.05389335751533508,30.058334350585938,30.59166717529297,30.183334350585938,30.17500114440918,23.95833396911621,24.408334732055664,24.125,24.191667556762695,17.883333206176758,18.28333282470703,18.125,18.266666412353516,0.0,20.82833251953125,21.419833374023437,20.08745422363281,21.302000427246092,20.82833251953125,21.419833374023437,4.2166666984558105,4.358333587646484,4.233333587646484,4.183333396911621,340648.1352,113128.0961,107395.3899,648.2,572.6,553.0,574.6,367.3,555.6,534.6,0.5263446724933126,1.0,1.0,1.0,23.760000228881836,21.131500244140625,24.878000259399414,24.3487491607666,24.491748809814453,20.31475067138672,21.168750762939453,24.28700065612793,22.69300079345703,25.120250701904297,24.173749923706055,22.769752502441406,209.73641304347825,118.96467391304348,2.4980622565139075,2.8709536800435655,3.354736982657507,3.9295726295450737,5968.744140625,6752.51953125,7732.728515625,8834.478515625,18.93980076002038,21.426854672639266,24.53722083050272,28.033266813858695,7.869999885559082,6.244166374206543,7.015832901000977,8.214166641235352
TZ201000000006,TZGE61FL,TZ,2010.0,6.0,TZ2010DHS,11465.564453125,13397.6201171875,15693.30859375,51.54999923706055,33.516666412353516,48.80833435058594,63.93333435058594,14.155606269836426,8.762527465820312,13.34168529510498,17.759260177612305,1.9165526044317035e-06,1.9165526044317035e-06,3.092926970979769e-05,31.152908325195312,30.6691650390625,28.8211669921875,30.757000732421876,12.133333206176758,12.258333206176758,11.791666984558105,11.691666603088379,5.0,2385.9,2489.6,2536.2,2661.0,2857.3,2847.6,2871.0,0.0,0.0,0.0,0.0,28.57412398921833,848.2458984375,7.0,1.121506690979004,0.14934848752557617,0.4607815168149047,0.5467049866377578,23.309454345703124,23.657917785644532,22.6413330078125,23.979583740234375,10.472263387592655,26.511708221024257,4.182787296264319,0.04596189411502643,3.107776569870283,0.23884998261928558,0.11921610683202744,0.09650714695453644,0.06817158311605453,0.18164844810962677,0.0689687430858612,0.05369408056139946,0.03648247942328453,26.741666793823242,27.325000762939453,26.816667556762695,26.80000114440918,20.649999618530273,21.17500114440918,20.90833282470703,20.916667938232422,14.608333587646484,15.066667556762695,15.02500057220459,15.108333587646484,0.0,16.4614990234375,17.202166748046874,15.466000366210938,16.64666748046875,16.4614990234375,17.202166748046874,3.6416666507720947,3.825000047683716,3.6583335399627686,3.6000001430511475,234880.0659,34030.28019,26885.71897,706.7272727272727,779.0,606.2727272727273,684.0909090909091,449.45454545454544,729.8181818181819,652.7272727272727,1.8625930827261623,1.0,1.0,0.0,20.984498977661133,18.023250579833984,21.760499954223633,21.40999984741211,21.421998977661133,17.138750076293945,18.172500610351562,21.243999481201172,19.24625015258789,21.704999923706055,20.76099967956543,19.587499618530273,101.01347708894879,72.64959568733154,4.2616043717893834,4.8977438730736305,5.7230602525684935,6.703709599743151,23487.3671875,26350.296875,29901.34765625,33830.609375,73.79948618598382,82.79507454514825,93.95280913072776,106.2989176212938,8.319999694824219,7.438333034515381,8.318333625793457,10.114999771118164
TZ201000000007,TZGE61FL,TZ,2010.0,7.0,TZ2010DHS,16551.87109375,19341.017578125,22655.109375,66.24166870117188,45.108333587646484,54.90833282470703,70.28333282470703,18.615924835205078,12.082589149475098,15.32325553894043,19.79812240600586,0.0008458892186990561,0.0010694554819466588,0.001162650200505607,31.39781799316406,32.66666870117187,32.587164306640624,33.0780029296875,11.516666412353516,11.716667175292969,11.40000057220459,11.27500057220459,9.0,2596.6,2614.7,2627.3,2695.1,2715.1,2758.9,2666.0,0.0,0.0,0.0,0.0,33.32970027247956,858.839453125,8.0,0.4799753427505493,0.12957005123269102,0.4739070790448231,0.564905002927366,24.144271850585938,25.409083557128906,25.43708190917969,25.895166015625,0.6997174255204786,15.759804208532016,3.0695281899267712,1.5602767902758856,4.319510893860695,0.24607060636792863,0.13326650857925415,0.06118614333016532,0.07211066995348249,0.19298948560442244,0.0794893673488072,0.03249064939362662,0.040163827793938775,27.05000114440918,27.641666412353516,27.25,27.358333587646484,21.266666412353516,21.758333206176758,21.524999618530273,21.683334350585938,15.533333778381348,15.925000190734863,15.850000381469727,16.08333396911621,0.03740784413105733,18.28699951171875,18.71233367919922,16.890725708007814,18.15150146484375,18.28699951171875,18.71233367919922,3.558333396911621,3.7333333492279053,3.5833332538604736,3.5500001907348633,253348.5752,36151.59196,231309.1635,643.4444444444445,665.3333333333334,682.7777777777778,754.1111111111111,404.44444444444446,646.6666666666666,611.7777777777778,3.308404823739782,0.0,0.0,0.0,22.67766571044922,20.217000325520832,23.97833251953125,23.4586664835612,23.62066650390625,19.566001892089844,20.416666666666668,23.383997599283855,21.363001505533855,24.05633290608724,22.873001098632812,21.56999969482422,64.1716621253406,138.85558583106268,6.304522114415323,7.245613344254032,8.466567829091062,9.917317708333334,31612.994140625,35465.9140625,40245.25,45534.31640625,100.71668511580381,112.99180432561307,128.2184306880109,145.06901396457766,9.962499618530273,8.12166690826416,8.380000114440918,10.03416633605957
TZ201000000008,TZGE61FL,TZ,2010.0,8.0,TZ2010DHS,13504.9580078125,15780.6708984375,18484.697265625,71.125,53.516666412353516,52.6583366394043,67.9000015258789,18.51409912109375,13.106122016906738,13.444681167602539,17.522581100463867,3.882057757841216e-06,5.947048997595197e-06,6.228578203017749e-06,27.394729614257812,28.50566711425781,28.839498901367186,29.099169921875,11.325000762939453,11.716667175292969,11.475000381469727,11.283333778381348,9.0,2771.0,2813.2,2970.3,3071.6,3320.8,3163.0,3153.5,0.0,0.0,0.0,0.0,20.18428184281843,923.45361328125,8.0,0.0,0.1571966536276575,0.4774789849960347,0.5955695926994983,21.84981689453125,22.825332641601562,23.147000122070313,23.517501831054688,0.72003173828125,16.786979695968835,2.171188561250847,1.4400942422510163,4.304175400152439,0.26386617024739584,0.15117142995198568,0.10135251681009928,0.07523789405822753,0.20001543362935384,0.09237719376881917,0.057929468154907224,0.041219139099121095,28.21666717529297,28.991666793823242,28.566667556762695,28.59166717529297,22.533334732055664,23.108333587646484,22.80000114440918,22.916667938232422,16.891666412353516,17.274999618530273,17.09166717529297,17.308334350585938,0.0,17.454498291015625,17.935833740234376,16.304908752441406,17.145001220703126,17.454498291015625,17.935833740234376,3.8416666984558105,4.083333492279053,3.9166667461395264,3.875,283607.6716,2111.808419,282703.0426,825.4444444444445,787.3333333333334,810.7777777777778,904.2222222222222,525.7777777777778,754.5555555555555,995.0,8.307116996951219,0.0,0.0,0.0,21.459749221801758,18.922000885009766,22.834251403808594,22.31974983215332,22.382999420166016,18.262001037597656,19.020000457763672,22.146251678466797,20.086999893188477,22.840499877929688,21.756750106811523,20.402000427246094,298.35230352303523,213.69376693766938,5.293019833772079,6.083121258279552,7.108184814453125,8.326175855553668,5677.484375,6371.99658203125,7233.03515625,8186.1376953125,18.021926342310298,20.226504276761517,22.959680407350948,25.98510014397019,8.757499694824219,7.429166316986084,7.1875,8.025833129882812
TZ201000000009,TZGE61FL,TZ,2010.0,9.0,TZ2010DHS,14956.5947265625,17476.923828125,20471.6015625,51.94166946411133,33.616668701171875,42.66666793823242,49.71666717529297,13.346895217895508,8.249488830566406,10.916844367980957,12.830107688903809,0.0,1.0721947099216068e-05,3.700488553450892e-05,35.19490966796875,35.53299560546875,35.83983154296875,36.195166015625,11.725000381469727,11.950000762939453,11.641666412353516,11.475000381469727,9.0,2070.4,2235.8,2193.4,2343.9,2378.1,2310.0,2279.6,0.0,0.0,0.0,0.0,33.07065217391305,858.8394252232143,7.0,0.0,0.1388258059697892,0.5059449602169265,0.5991800615988717,27.312545776367188,28.103250122070314,28.251165771484374,28.578585815429687,1.1302701701288638,10.270302150560463,3.1307658319887905,1.1695744887642239,3.4825532332710596,0.23752542904445104,0.13469794818333217,0.07204051528658185,0.07292192322867257,0.17835923603602818,0.07942459412983485,0.03879748497690473,0.04004610436303275,28.883333206176758,29.491666793823242,29.09166717529297,29.133333206176758,23.008333206176758,23.491666793823242,23.241666793823242,23.383333206176758,17.15833282470703,17.541667938232422,17.450000762939453,17.65833282470703,0.0021864889441309747,20.662501525878906,20.96199951171875,19.430181884765624,20.673500061035156,20.662501525878906,20.96199951171875,3.8916666507720947,4.074999809265137,3.9083333015441895,3.875,276629.6026,39337.96291,209507.8278,650.7777777777778,595.3333333333334,638.6666666666666,674.2222222222222,354.44444444444446,546.8888888888889,639.1111111111111,1.7125071649966033,1.0,0.0,0.0,23.396501541137695,20.78499984741211,24.67224884033203,23.945499420166016,24.22425079345703,19.99250030517578,20.822500228881836,23.97249984741211,21.857500076293945,24.763750076293945,23.48025131225586,22.17099952697754,70.15760869565217,101.01086956521739,5.849739320816532,6.72294436218918,7.855824460265457,9.201923329343078,11998.619140625,13461.23046875,15275.224609375,17283.294921875,38.11617909307065,42.76247240149456,48.52501910665761,54.90408457880435,8.477499961853027,6.999166488647461,7.263333320617676,8.835000038146973
TZ201000000010,TZGE61FL,TZ,2010.0,10.0,TZ2010DHS,8939.2275390625,10445.572265625,12235.42578125,52.95833206176758,36.06666564941406,47.82500076293945,58.233333587646484,14.848130226135254,9.725842475891113,13.471830368041992,16.559242248535156,0.0,1.1727087128954597e-05,3.302048101926906e-05,32.33818359375,33.507833862304686,33.71516723632813,33.668331909179685,11.683333396911621,11.808333396911621,11.441666603088379,11.366666793823242,9.0,2120.4,2187.5,2243.1,2378.2,2328.8,2349.9,2165.0,0.0,0.0,0.0,0.0,24.81283422459893,825.7113037109375,7.0,0.0,0.10917114408241137,0.4441625412368387,0.5361014230136483,23.836454772949217,25.000083923339844,25.252833557128906,25.40191650390625,20.199674479166667,26.838619791666666,11.256111979166667,2.9265579427083335,3.4322757161458335,0.24912227903093612,0.19666567870548793,0.08182171412876674,0.06783292974744524,0.19713234901428223,0.13561575753348215,0.045309203011648994,0.0370743955884661,27.008333206176758,27.516666412353516,27.108333587646484,27.225000381469727,21.133333206176758,21.58333396911621,21.366666793823242,21.508333206176758,15.325000762939453,15.708333969116211,15.666666984558105,15.858333587646484,0.0,16.790499877929687,17.135501098632812,15.334727478027343,16.492333984375,16.790499877929687,17.135501098632812,3.566666841506958,3.7083334922790527,3.5500001907348633,3.5166666507720947,248963.464,77558.81436,183859.0887,593.8,622.1,585.0,727.5,357.3,555.7,575.4,1.6291896158854167,1.0,1.0,0.0,21.17224884033203,18.65850067138672,22.30699920654297,21.982500076293945,22.027999877929688,17.856250762939453,18.842248916625977,21.833499908447266,19.534000396728516,22.352500915527344,21.170249938964844,20.016250610351562,183.67466666666667,153.54666666666665,3.556590010480183,4.087491001863143,4.776271913109756,5.594688188092818,15101.72265625,17551.119140625,20705.486328125,24448.2734375,47.034536458333335,54.663078125,64.48719791666667,76.14388541666666,9.671666145324707,7.97166633605957,8.549166679382324,9.928333282470703
