DHSID,GPS_Dataset,DHSCC,DHSYEAR,DHSCLUST,SurveyID,All_Population_Count_2005,All_Population_Count_2010,All_Population_Count_2015,Annual_Precipitation_2000,Annual_Precipitation_2005,Annual_Precipitation_2010,Annual_Precipitation_2015,Aridity_2000,Aridity_2005,Aridity_2010,Aridity_2015,BUILT_Population_1990,BUILT_Population_2000,BUILT_Population_2014,Day_Land_Surface_Temp_2000,Day_Land_Surface_Temp_2005,Day_Land_Surface_Temp_2010,Day_Land_Surface_Temp_2015,Diurnal_Temperature_Range_2000,Diurnal_Temperature_Range_2005,Diurnal_Temperature_Range_2010,Diurnal_Temperature_Range_2015,Drought_Episodes,Enhanced_Vegetation_Index_1985,Enhanced_Vegetation_Index_1990,Enhanced_Vegetation_Index_1995,Enhanced_Vegetation_Index_2000,Enhanced_Vegetation_Index_2005,Enhanced_Vegetation_Index_2010,Enhanced_Vegetation_Index_2015,Frost_Days_2000,Frost_Days_2005,Frost_Days_2010,Frost_Days_2015,Global_Human_Footprint,Gross_Cell_Production,Growing_Season_Length,Irrigation,ITN_Coverage_2005,ITN_Coverage_2010,ITN_Coverage_2015,Land_Surface_Temperature_2000,Land_Surface_Temperature_2005,Land_Surface_Temperature_2010,Land_Surface_Temperature_2015,Livestock_Cattle,Livestock_Chickens,Livestock_Goats,Livestock_Pigs,Livestock_Sheep,Malaria_Incidence_2000,Malaria_Incidence_2005,Malaria_Incidence_2010,Malaria_Incidence_2015,Malaria_Prevalence_2000,Malaria_Prevalence_2005,Malaria_Prevalence_2010,Malaria_Prevalence_2015,Maximum_Temperature_2000,Maximum_Temperature_2005,Maximum_Temperature_2010,Maximum_Temperature_2015,Mean_Temperature_2000,Mean_Temperature_2005,Mean_Temperature_2010,Mean_Temperature_2015,Minimum_Temperature_2000,Minimum_Temperature_2005,Minimum_Temperature_2010,Minimum_Temperature_2015,Nightlights_Composite,Night_Land_Surface_Temp2010,Night_Land_Surface_Temp2015,Night_Land_Surface_Temp_2000,Night_Land_Surface_Temp_2005,Night_Land_Surface_Temp_2010,Night_Land_Surface_Temp_2015,PET_2000,PET_2005,PET_2010,PET_2015,Proximity_to_National_Borders,Proximity_to_Protected_Areas,Proximity_to_Water,Rainfall_1985,Rainfall_1990,Rainfall_1995,Rainfall_2000,Rainfall_2005,Rainfall_2010,Rainfall_2015,Slope,SMOD_Population_1990,SMOD_Population_2000,SMOD_Population_2015,Temperature_April,Temperature_August,Temperature_December,Temperature_February,Temperature_January,Temperature_July,Temperature_June,Temperature_March,Temperature_May,Temperature_November,Temperature_October,Temperature_September,Travel_Times_2000,Travel_Times_2015,U5_Population_2000,U5_Population_2005,U5_Population_2010,U5_Population_2015,UN_Population_Count_2000,UN_Population_Count_2005,UN_Population_Count_2010,UN_Population_Count_2015,UN_Population_Density_2000,UN_Population_Density_2005,UN_Population_Density_2010,UN_Population_Density_2015,Wet_Days_2000,Wet_Days_2005,Wet_Days_2010,Wet_Days_2015
RW201400000001,RWGE72FL,RW,2014.0,1.0,RW2015DHS,155464.8125,177649.0625,200360.625,92.26667022705078,86.63333129882812,113.86666870117188,113.26667022705078,30.334245681762695,26.58823585510254,35.676239013671875,37.340660095214844,0.0015132787484156934,0.003515536649317681,0.014379170876515062,29.181637573242188,27.284500122070312,27.977334594726564,27.76199951171875,12.541666984558105,12.266666412353516,12.491666793823242,11.483333587646484,1.0,3099.9,3126.2,3199.5,3230.3,3399.1,3491.6,3437.9,0.0,0.0,0.0,0.0,35.08196721311475,664.1766357421875,11.0,4.100385983784993,0.15781659331717027,0.4467806963712382,0.7698932136752591,21.941635131835938,21.397999572753907,21.694332885742188,21.684416198730467,33.07158256489071,22.294006681181695,66.1632193476776,5.803418102160178,2.232601311688866,0.1791181246439616,0.08857166767120361,0.0565791924794515,0.0540474534034729,0.12466623783111572,0.0498693307240804,0.029741646846135457,0.029134911298751832,26.416667938232422,27.041667938232422,26.633333206176758,25.78333282470703,20.116666793823242,20.883333206176758,20.358333587646484,20.016666412353516,13.875,14.77500057220459,14.141666412353516,14.300000190734863,0.07170783206617475,15.411334228515624,15.606832885742188,14.7016357421875,15.5114990234375,15.411334228515624,15.606832885742188,3.0416667461395264,3.258333444595337,3.191666603088379,3.0333333015441895,24138.48699,31082.39329,35146.8477,1161.2727272727273,1073.6363636363637,1157.0,919.3636363636364,1038.909090909091,1268.090909090909,1145.909090909091,3.2852402984118854,0.0,0.0,1.0,19.08199946085612,20.10266621907552,19.17333221435547,19.272000630696613,19.417334238688152,19.186665852864582,18.772666931152344,19.18566640218099,18.994667053222656,18.79433314005534,19.475001017252605,20.015665690104168,140.88251366120218,43.12021857923497,57.077773756811986,64.0959532527248,73.24219814373296,82.60586256811989,140898.859375,154642.3125,170538.5,183040.234375,447.7789019808743,491.4555157103825,541.9736594945355,581.7040642076503,13.988332748413086,13.524166107177734,15.674166679382324,15.180832862854004
RW201400000002,RWGE72FL,RW,2014.0,2.0,RW2015DHS,117645.96875,134433.59375,151620.28125,70.6500015258789,68.4000015258789,89.39167022705078,101.38333129882812,24.085227966308594,21.82978630065918,28.991891860961914,35.060516357421875,0.0002818554639816284,0.0005389312014412195,0.0014697585623866072,30.00041337446733,28.56484430486506,27.802728826349433,28.660755504261363,13.25,13.074999809265137,13.133333206176758,12.258333206176758,-9999,3222.909090909091,3241.3636363636365,3266.0,3378.0,3466.7272727272725,3641.090909090909,3450.3636363636365,0.0,0.0,0.0,0.0,26.230352303523034,859.5296875,11.0,0.0,0.17177745787025894,0.4353505353303297,0.7517717682171409,22.594464388760652,22.164317737926137,21.81568215110085,22.216286399147727,46.33139951145552,144.02602762803235,50.99652543800539,10.731065611312331,65.14732142857143,0.28934141794840496,0.11681164105733235,0.04806511004765828,0.036695607503255206,0.22831873893737792,0.06862112681070963,0.024463852246602375,0.018691635131835936,26.41666603088379,27.116666793823242,26.65833282470703,25.83333396911621,19.75,20.558334350585938,20.058334350585938,19.666667938232422,13.166666984558105,14.041666984558105,13.52500057220459,13.574999809265137,0.005301647770161531,15.828636863014914,15.771818681196732,15.188512628728693,15.76378700949929,15.828636863014914,15.771818681196732,2.933333396911621,3.133333444595337,3.0833334922790527,2.8916666507720947,55444.90154,41217.18189,26115.04146,987.3636363636364,929.1818181818181,896.9090909090909,769.0909090909091,965.9090909090909,1039.6363636363637,862.0909090909091,4.1225720840001685,1.0,0.0,0.0,19.903667449951172,20.489667256673176,19.63833236694336,19.88166681925456,20.13800048828125,19.85566584269206,19.548333485921223,19.86133321126302,19.878334045410156,19.501332600911457,20.120333353678387,20.372665405273438,107.86792452830188,24.48247978436658,46.65394370719178,52.39042166095891,59.86634203767123,67.51995933219177,104940.4375,122438.4375,144292.28125,166278.65625,347.6300117924528,405.91197776280325,478.7227931266846,552.0622473045822,14.545832633972168,14.426666259765625,16.858333587646484,16.532499313354492
RW201400000003,RWGE72FL,RW,2014.0,3.0,RW2015DHS,165902.8125,189576.5,213812.953125,93.07500457763672,89.125,118.45000457763672,133.48333740234375,34.90312576293945,31.271930694580078,42.053253173828125,50.52996826171875,0.0016168489863600912,0.0032592264911796474,0.01063632512394386,24.245999145507813,23.89466552734375,24.38300018310547,24.086000061035158,12.316666603088379,12.100000381469727,12.266666412353516,11.283333778381348,-9999,3479.8,3524.0,3576.1,3644.0,3851.8,3797.4,3789.6,0.0,0.003333333181217313,0.0,0.0,39.131147540983605,728.0853881835938,13.0,0.0,0.09590058310689734,0.38586110780920596,0.6856618931519122,17.954364013671874,18.035665893554686,18.593667602539064,17.92491760253906,74.48979678961749,37.464809063353826,47.23615735997268,16.804534078295767,84.50346866461749,0.18914018358503068,0.08754651887076241,0.04852512904575893,0.053639003208705356,0.12765129974910192,0.04787238155092512,0.024442251239504133,0.028055133564131602,23.691667556762695,24.391666412353516,23.975000381469727,23.05000114440918,17.508333206176758,18.316667556762695,17.816667556762695,17.391666412353516,11.375,12.291666984558105,11.708333969116211,11.766666412353516,0.006138658393984256,12.80433349609375,11.763833618164062,11.662728118896485,12.176667022705079,12.80433349609375,11.763833618164062,2.6666667461395264,2.8500001430511475,2.816666603088379,2.6416666507720947,39626.39408,13870.04347,29001.40771,1243.9,1393.4,1268.7,958.9,1011.1,1430.1,1232.8,5.823927915812842,0.0,0.0,1.0,16.963748931884766,17.284250259399414,17.01525115966797,17.2189998626709,17.211750030517578,17.011249542236328,16.684749603271484,17.201000213623047,16.784748077392578,16.825000762939453,17.217498779296875,17.403749465942383,208.81147540983608,53.26229508196721,70.92790670955883,79.64907461564171,91.01469543783422,102.65048462566845,148072.484375,161186.375,176284.390625,187634.734375,470.36573599726773,512.0232667349727,559.983606557377,596.0391051912568,15.032499313354492,14.69083309173584,17.373332977294922,16.879165649414062
RW201400000004,RWGE72FL,RW,2014.0,4.0,RW2015DHS,107691.859375,126238.2890625,146470.796875,66.80000305175781,66.42500305175781,88.50833892822266,89.30833435058594,20.82077980041504,19.633005142211914,26.486284255981445,28.2026309967041,4.037627063336827e-06,0.00021663977513237606,0.0017479529456486777,30.45347179066051,29.09075927734375,28.613486550071023,28.371515447443183,13.100000381469727,12.90000057220459,13.008333206176758,12.108333587646484,-9999,3183.2727272727275,3219.090909090909,3245.909090909091,3283.3636363636365,3496.909090909091,3507.181818181818,3416.6363636363635,0.0,0.0,0.0,0.0,32.57142857142857,606.2842494419643,11.0,0.2399926483631134,0.1404453163417155,0.43018666804692,0.7540893341057322,22.88876065340909,22.61939308860085,22.51121104847301,22.34090909090909,16.812406099759617,139.4176468063187,58.64206838083791,8.085838234031593,13.828175974416208,0.3846555437360491,0.1873870917728969,0.1374297993523734,0.14467760494777135,0.3409201758248465,0.13078681060246058,0.08652077402387347,0.09342125483921596,28.25,28.933334350585938,28.483333587646484,27.666667938232422,21.67500114440918,22.45833396911621,21.95833396911621,21.575000762939453,15.149999618530273,16.03333282470703,15.475000381469727,15.558333396911621,0.00044790947007191593,16.408939708362926,16.310302734375,15.32404951615767,16.14803106134588,16.408939708362926,16.310302734375,3.2083334922790527,3.383333444595337,3.3416666984558105,3.1666667461395264,254.7503734,50446.69925,10329.02585,1131.0,1024.1,975.3,792.2,855.8,1108.4,895.1,2.7753631256438873,1.0,0.0,0.0,20.535749435424805,21.046499252319336,20.281999588012695,20.437252044677734,20.548500061035156,20.298500061035156,20.170249938964844,20.335498809814453,20.513750076293945,19.931251525878906,20.687999725341797,21.16374969482422,274.04945054945057,40.04945054945055,47.54128244535519,54.86501024590164,64.43530673668033,74.91511377219945,67070.46875,91646.921875,129656.1875,184579.5625,216.51854395604394,296.35538289835165,419.97308550824175,598.8464114010989,13.234999656677246,13.375832557678223,15.619999885559082,15.219999313354492
RW201400000005,RWGE72FL,RW,2014.0,5.0,RW2015DHS,81713.5625,93373.78125,105311.1640625,66.80000305175781,66.42500305175781,88.50833892822266,89.30833435058594,20.82077980041504,19.633005142211914,26.486284255981445,28.2026309967041,0.0012984999452536098,0.016341640545537297,0.041048135239476216,34.98381652832031,31.24700012207031,29.61583251953125,30.388165283203126,13.100000381469727,12.90000057220459,13.008333206176758,12.108333587646484,-9999,2666.8,2691.5,2702.7,2807.6,2667.7,3230.8,3003.1,0.0,0.0,0.0,0.0,20.673024523160763,606.2842447916667,11.0,0.0,0.12337803112069823,0.4180811720632669,0.7378268787692249,25.753091430664064,24.339332580566406,23.20124969482422,23.64466552734375,19.955187223262943,191.16301941416893,54.32962576634878,2.7329361003491144,7.054973550323569,0.2757087707519531,0.12579540411631265,0.06618311802546183,0.11613890329996744,0.22259286244710286,0.07774194081624348,0.035304681460062666,0.07213732401529947,28.25,28.933334350585938,28.483333587646484,27.666667938232422,21.67500114440918,22.45833396911621,21.95833396911621,21.575000762939453,15.149999618530273,16.03333282470703,15.475000381469727,15.558333396911621,0.0263329982432526,16.786666870117188,16.901165771484376,16.52236328125,17.431666564941406,16.786666870117188,16.901165771484376,3.2083334922790527,3.383333444595337,3.3416666984558105,3.1666667461395264,20966.93523,65048.52831,15598.99803,913.5454545454545,902.0,836.7272727272727,653.3636363636364,816.0,985.2727272727273,745.5454545454545,1.8738785829466111,0.0,1.0,1.0,20.756000518798828,21.516498565673828,20.52899932861328,20.74449920654297,20.818500518798828,20.589750289916992,20.3125,20.857250213623047,20.620250701904297,20.408748626708984,21.136249542236328,21.699501037597656,148.45776566757493,38.28882833787466,32.25894605756131,36.22544756897139,41.39468026226158,46.68679219175749,60802.66015625,69957.546875,82682.1640625,97288.703125,199.4345197547684,229.05196270435968,270.15756982288826,317.1689799046322,13.234999656677246,13.375832557678223,15.619999885559082,15.219999313354492
RW201400000006,RWGE72FL,RW,2014.0,6.0,RW2015DHS,6738.6865234375,7700.271484375,8684.71484375,66.80000305175781,66.42500305175781,88.50833892822266,89.30833435058594,20.82077980041504,19.633005142211914,26.486284255981445,28.2026309967041,0.004940574988722801,0.008995262905955315,0.05051470299561819,30.742727279663086,28.4950008392334,28.274999618530273,29.0,13.100000381469727,12.90000057220459,13.008333206176758,12.108333587646484,-9999,2838,2857,2980,3223,3204,3053,3137,0.0,0.0,0.0,0.0,34.0,606.2842407226562,11,0.0,0.1779971284899829,0.42069719299916875,0.7391459212481695,23.060909271240234,22.2641658782959,22.357500076293945,22.607500076293945,14.830279541015624,346.1165364583333,33.14482828776042,0.0,12.564605712890625,0.271651953458786,0.10854842513799667,0.037516675889492035,0.058088745921850204,0.2205980271100998,0.06457438319921494,0.01916106976568699,0.03153795003890991,28.25,28.933334350585938,28.483333587646484,27.666667938232422,21.67500114440918,22.45833396911621,21.95833396911621,21.575000762939453,15.149999618530273,16.03333282470703,15.475000381469727,15.558333396911621,0.17653123263655038,16.440000534057617,16.21500015258789,15.379091262817383,16.03333282470703,16.440000534057617,16.21500015258789,3.2083334922790527,3.383333444595337,3.3416666984558105,3.1666667461395264,36685.81013,62948.48482,21380.88448,1060,978,932,743,1026,1097,864,3.4841875712076824,0.0,1.0,2.0,20.719999313354492,21.29599952697754,20.4950008392334,20.605998992919922,20.81399917602539,20.516000747680664,20.1560001373291,20.663000106811523,20.59600067138672,20.32900047302246,20.9689998626709,21.29400062561035,27.866666666666667,3.7333333333333334,62.23174235026042,69.883642578125,79.85577799479167,90.06494140625,5145.4658203125,6925.37646484375,9573.859375,13104.521484375,398.8615234375,536.8354166666667,742.1386067708333,1015.8260416666667,13.234999656677246,13.375832557678223,15.619999885559082,15.219999313354492
RW201400000007,RWGE72FL,RW,2014.0,7.0,RW2015DHS,156506.625,178839.53125,201703.296875,93.07500457763672,89.125,118.45000457763672,133.48333740234375,34.90312576293945,31.271930694580078,42.053253173828125,50.52996826171875,0.0013818265516546708,0.00254356653629979,0.006063065196894393,26.06121317545573,25.531667073567707,24.646250406901043,24.93902587890625,12.316666603088379,12.100000381469727,12.266666412353516,11.283333778381348,-9999,3346.0,3352.25,3346.25,3422.5,3691.25,3855.9166666666665,3809.5833333333335,0.0,0.003333333181217313,0.0,0.0,36.273972602739725,728.0853794642857,13.0,0.0,0.10150503793616579,0.3725335729780034,0.6755469266547998,19.634318033854168,19.57555643717448,19.259999593098957,19.361529032389324,36.10903788527397,44.345523865582194,120.57688356164384,15.907177065496576,69.9122859589041,0.2358095645904541,0.1077090757233756,0.04899677634239197,0.04772379568644932,0.1748427152633667,0.06261356387819562,0.025053305285317556,0.025188852633748735,23.691667556762695,24.391666412353516,23.975000381469727,23.05000114440918,17.508333206176758,18.316667556762695,17.816667556762695,17.391666412353516,11.375,12.291666984558105,11.708333969116211,11.766666412353516,0.03605588190914656,13.87375005086263,13.784027099609375,13.20742416381836,13.619444529215494,13.87375005086263,13.784027099609375,2.6666667461395264,2.8500001430511475,2.816666603088379,2.6416666507720947,24588.77497,35349.40805,17969.61322,1238.75,1347.9166666666667,1158.75,843.0833333333334,995.4166666666666,1323.5833333333333,1084.8333333333333,6.3480147688356166,0.0,0.0,0.0,17.644999186197918,18.16866683959961,17.67233403523763,17.96166737874349,18.00499979654948,17.8663330078125,17.45633316040039,17.88133366902669,17.507333119710285,17.601999918619793,18.082000732421875,18.1913324991862,204.24931506849316,36.605479452054794,63.04303192385445,70.79468497304582,80.89681603773585,91.23908145215633,144914.671875,148833.53125,153476.65625,153924.75,461.55847602739726,474.04011130136985,488.8285102739726,490.2556506849315,15.032499313354492,14.69083309173584,17.373332977294922,16.879165649414062
RW201400000008,RWGE72FL,RW,2014.0,8.0,RW2015DHS,136254.46875,155697.46875,175602.640625,70.6500015258789,68.4000015258789,89.39167022705078,101.38333129882812,24.085227966308594,21.82978630065918,28.991891860961914,35.060516357421875,0.0013803115639931117,0.0024656897936111842,0.007472177346547444,28.344000244140624,27.127166748046875,26.792333984375,27.051165771484374,13.25,13.074999809265137,13.133333206176758,12.258333206176758,-9999,3311.9,3335.5,3355.2,3405.0,3467.4,3818.3,3656.5,0.0,0.0,0.0,0.0,36.1767955801105,834.8837890625,11.0,0.38226425647735596,0.13905497159329233,0.39222856171781423,0.6970122073132208,21.486817932128908,21.16699981689453,21.094000244140624,21.209918212890624,71.82437521581491,118.73340383287292,112.20501338052486,14.796680766574585,11.634520135531767,0.25895369052886963,0.11099182707922799,0.042550074202673774,0.04232215881347656,0.2033853530883789,0.06546049884387425,0.0217851528099605,0.022123785955565318,26.41666603088379,27.116666793823242,26.65833282470703,25.83333396911621,19.75,20.558334350585938,20.058334350585938,19.666667938232422,13.166666984558105,14.041666984558105,13.52500057220459,13.574999809265137,0.03568954467773437,15.39566650390625,15.368666076660157,14.629635620117188,15.206832885742188,15.39566650390625,15.368666076660157,2.933333396911621,3.133333444595337,3.0833334922790527,2.8916666507720947,37689.36166,58036.71913,41680.6635,1177.8333333333333,1198.8333333333333,1059.8333333333333,826.75,1089.8333333333333,1178.4166666666667,990.3333333333334,5.960767545752763,0.0,0.0,1.0,18.74449920654297,19.480749130249023,18.736499786376953,18.910999298095703,19.138750076293945,18.81475067138672,18.33799934387207,18.926498413085938,18.630001068115234,18.59950065612793,19.012500762939453,19.28299903869629,106.38121546961327,24.162983425414364,53.518948462701616,60.09954112063172,68.6755134828629,77.4553458921371,125736.40625,142411.9375,162894.625,182278.875,403.81906077348066,457.37538846685084,523.1590124309392,585.4150552486187,14.545832633972168,14.426666259765625,16.858333587646484,16.532499313354492
RW201400000009,RWGE72FL,RW,2014.0,9.0,RW2015DHS,38972.2109375,44533.39453125,50226.7734375,66.80000305175781,66.42500305175781,88.50833892822266,89.30833435058594,20.82077980041504,19.633005142211914,26.486284255981445,28.2026309967041,0.18270391684312087,0.21398313228900617,0.43207982870248646,30.742727279663086,28.4950008392334,28.274999618530273,29.0,13.100000381469727,12.90000057220459,13.008333206176758,12.108333587646484,-9999,2838,2857,2980,3223,3204,3053,3137,0.0,0.0,0.0,0.0,41.375,606.2842407226562,11,0.0,0.13593062821737875,0.29137108211345547,0.5612586736047651,23.060909271240234,22.2641658782959,22.357500076293945,22.607500076293945,21.464859008789062,303.78240966796875,30.318138122558594,0.0,11.204487800598145,0.17016533017158508,0.058327604085206985,0.01875946670770645,0.030347881838679314,0.12757201492786407,0.03236551210284233,0.009498105384409428,0.01601761393249035,28.25,28.933334350585938,28.483333587646484,27.666667938232422,21.67500114440918,22.45833396911621,21.95833396911621,21.575000762939453,15.149999618530273,16.03333282470703,15.475000381469727,15.558333396911621,5.383281506990132,16.440000534057617,16.21500015258789,15.379091262817383,16.03333282470703,16.440000534057617,16.21500015258789,3.2083334922790527,3.383333444595337,3.3416666984558105,3.1666667461395264,41014.50991,62968.36233,22203.42689,999.0,1014.0,892.0,713.0,992.0,1067.0,830.0,2.426036834716797,3.0,3.0,3.0,20.719999313354492,21.29599952697754,20.4950008392334,20.605998992919922,20.81399917602539,20.516000747680664,20.1560001373291,20.663000106811523,20.59600067138672,20.32900047302246,20.9689998626709,21.29400062561035,18.6875,0.4375,217.06255634014423,243.75214092548077,278.53466796875,314.1439678485577,27332.83984375,31427.71875,36581.296875,41759.3046875,1986.2998046875,2283.877685546875,2658.391845703125,3034.681396484375,13.234999656677246,13.375832557678223,15.619999885559082,15.219999313354492
RW201400000010,RWGE72FL,RW,2014.0,10.0,RW2015DHS,15002.595703125,17143.408203125,19335.109375,70.6500015258789,68.4000015258789,89.39167022705078,101.38333129882812,24.085227966308594,21.82978630065918,28.991891860961914,35.060516357421875,0.010020998808053823,0.015214092456377469,0.054890219981853776,30.933635711669922,29.645000457763672,29.24333381652832,29.514999389648438,13.25,13.074999809265137,13.133333206176758,12.258333206176758,-9999,3416,3464,3455,3671,3954,3779,3682,0.0,0.0,0.0,0.0,37.375,859.5296630859375,11,2.9070589542388916,0.22259296831617092,0.4726649169106993,0.8052804898535606,23.010000228881836,22.824167251586914,22.55666732788086,22.877500534057617,116.24946594238281,213.9947967529297,100.5884017944336,25.925514221191406,172.31826782226562,0.3211987316608429,0.13324891030788422,0.060642603784799576,0.05172400921583176,0.2709213197231293,0.08296394348144531,0.03174066171050072,0.027466312050819397,26.41666603088379,27.116666793823242,26.65833282470703,25.83333396911621,19.75,20.558334350585938,20.058334350585938,19.666667938232422,13.166666984558105,14.041666984558105,13.52500057220459,13.574999809265137,1.2922349896347314,15.869999885559082,16.239999771118164,15.086363792419434,16.003334045410156,15.869999885559082,16.239999771118164,2.933333396911621,3.133333444595337,3.0833334922790527,2.8916666507720947,40401.81824,26672.20978,11274.41249,988,990,915,741,934,1051,856,2.5243489742279053,0.0,0.0,0.0,20.20800018310547,20.663000106811523,20.05299949645996,20.22599983215332,20.48699951171875,19.940000534057617,19.858999252319336,20.173999786376953,20.179000854492188,19.777000427246094,20.39299964904785,20.659000396728516,63.6875,0.8125,114.61497497558594,128.70782470703125,147.07394409179688,165.87664794921875,8125.5693359375,9360.4140625,10831.2548828125,12194.09765625,590.4833984375,680.2193603515625,787.1051635742188,886.1427001953125,14.545832633972168,14.426666259765625,16.858333587646484,16.532499313354492
