DHSID,GPS_Dataset,DHSCC,DHSYEAR,DHSCLUST,SurveyID,All_Population_Count_2005,All_Population_Count_2010,All_Population_Count_2015,Annual_Precipitation_2000,Annual_Precipitation_2005,Annual_Precipitation_2010,Annual_Precipitation_2015,Aridity_2000,Aridity_2005,Aridity_2010,Aridity_2015,BUILT_Population_1990,BUILT_Population_2000,BUILT_Population_2014,Day_Land_Surface_Temp_2000,Day_Land_Surface_Temp_2005,Day_Land_Surface_Temp_2010,Day_Land_Surface_Temp_2015,Diurnal_Temperature_Range_2000,Diurnal_Temperature_Range_2005,Diurnal_Temperature_Range_2010,Diurnal_Temperature_Range_2015,Drought_Episodes,Enhanced_Vegetation_Index_1985,Enhanced_Vegetation_Index_1990,Enhanced_Vegetation_Index_1995,Enhanced_Vegetation_Index_2000,Enhanced_Vegetation_Index_2005,Enhanced_Vegetation_Index_2010,Enhanced_Vegetation_Index_2015,Frost_Days_2000,Frost_Days_2005,Frost_Days_2010,Frost_Days_2015,Global_Human_Footprint,Gross_Cell_Production,Growing_Season_Length,Irrigation,ITN_Coverage_2005,ITN_Coverage_2010,ITN_Coverage_2015,Land_Surface_Temperature_2000,Land_Surface_Temperature_2005,Land_Surface_Temperature_2010,Land_Surface_Temperature_2015,Livestock_Cattle,Livestock_Chickens,Livestock_Goats,Livestock_Pigs,Livestock_Sheep,Malaria_Incidence_2000,Malaria_Incidence_2005,Malaria_Incidence_2010,Malaria_Incidence_2015,Malaria_Prevalence_2000,Malaria_Prevalence_2005,Malaria_Prevalence_2010,Malaria_Prevalence_2015,Maximum_Temperature_2000,Maximum_Temperature_2005,Maximum_Temperature_2010,Maximum_Temperature_2015,Mean_Temperature_2000,Mean_Temperature_2005,Mean_Temperature_2010,Mean_Temperature_2015,Minimum_Temperature_2000,Minimum_Temperature_2005,Minimum_Temperature_2010,Minimum_Temperature_2015,Nightlights_Composite,Night_Land_Surface_Temp2010,Night_Land_Surface_Temp2015,Night_Land_Surface_Temp_2000,Night_Land_Surface_Temp_2005,Night_Land_Surface_Temp_2010,Night_Land_Surface_Temp_2015,PET_2000,PET_2005,PET_2010,PET_2015,Proximity_to_National_Borders,Proximity_to_Protected_Areas,Proximity_to_Water,Rainfall_1985,Rainfall_1990,Rainfall_1995,Rainfall_2000,Rainfall_2005,Rainfall_2010,Rainfall_2015,Slope,SMOD_Population_1990,SMOD_Population_2000,SMOD_Population_2015,Temperature_April,Temperature_August,Temperature_December,Temperature_February,Temperature_January,Temperature_July,Temperature_June,Temperature_March,Temperature_May,Temperature_November,Temperature_October,Temperature_September,Travel_Times_2000,Travel_Times_2015,U5_Population_2000,U5_Population_2005,U5_Population_2010,U5_Population_2015,UN_Population_Count_2000,UN_Population_Count_2005,UN_Population_Count_2010,UN_Population_Count_2015,UN_Population_Density_2000,UN_Population_Density_2005,UN_Population_Density_2010,UN_Population_Density_2015,Wet_Days_2000,Wet_Days_2005,Wet_Days_2010,Wet_Days_2015
UG201100000001,UGGE61FL,UG,2011,1,UG2011DHS,117329.0625,138696.6875,163310.9375,119.8416672,87.57500458,145.5500031,138.7583313,32.38964081,22.45512772,38.05228806,39.36406708,0.846638952,0.873559407,0.879242216,32.45727158,32.65333176,33.04666519,33.26333237,12.35833359,12.13333321,12.09166718,11.46666718,-9999,3131,3039,3004,3015,2813,2402,2369,0,0,0,0,89.8,946.7068481,14,0,0,0.191424812,0.39097545,25.60090828,26.22249985,26.5391674,26.59499931,0,0,0,0,0,0.221400306,0.199062258,0.121804446,0.095023088,0.190337762,0.153389305,0.078083143,0.064825028,29.18333435,29.66666794,29.51666641,28.85833359,22.96666718,23.57500076,23.45000076,23.09166718,16.82500076,17.53333282,17.42500114,17.39166641,22.10617592,20.0316658,19.92666626,18.74454498,19.79166603,20.0316658,19.92666626,3.700000048,3.900000095,3.825000048,3.525000095,146480.4084,185655.8679,8187.413013,1066,1188,1304,1252,1102,1253,1271,0.415568447,3,3,3,21.88100052,20.80599976,21.77099991,22.32500076,22.24500084,20.53199959,21.08099937,22.31599998,21.54899979,21.85899925,21.89800072,21.35000038,1.666666667,0,930.2542725,1098.029053,1297.998901,1528.352539,80535.75,96856.09375,116050.7266,137735.0938,6239.138542,7503.483333,8990.498958,10670.39688,16.48916626,14.22499943,18.38083267,16.57749939
UG201100000002,UGGE61FL,UG,2011,2,UG2011DHS,120445.3125,142380.4688,167648.4844,119.8416672,87.57500458,145.5500031,138.7583313,32.38964081,22.45512772,38.05228806,39.36406708,0.558058841,0.842708996,0.908713749,32.45727158,32.65333176,33.04666519,33.26333237,12.35833359,12.13333321,12.09166718,11.46666718,-9999,3131,3039,3004,3015,2813,2402,2369,0,0,0,0,77.57142857,946.7068481,14,0,0,0.206044154,0.418148222,25.60090828,26.22249985,26.5391674,26.59499931,1.924648694,31.82083348,12.92358616,6.402186802,1.473878043,0.222147509,0.212933332,0.137506798,0.096653998,0.190804735,0.17000623,0.09177804,0.066041775,29.18333435,29.66666794,29.51666641,28.85833359,22.96666718,23.57500076,23.45000076,23.09166718,16.82500076,17.53333282,17.42500114,17.39166641,8.262695313,20.0316658,19.92666626,18.74454498,19.79166603,20.0316658,19.92666626,3.700000048,3.900000095,3.825000048,3.525000095,149034.2374,184006.021,8912.753748,1093,1205,1238,1267,1082,1251,1244,0.389448711,3,3,3,21.9489994,20.8939991,21.79700089,22.30599976,22.34700012,20.63199997,21.14699936,22.37599945,21.6079998,21.93899918,22.00900078,21.52799988,7.214285714,0,1108.198382,1308.066127,1546.287249,1820.704102,69497.75781,83565.03125,100105.9219,118787.9688,5768.612723,6936.257813,8309.222656,9859.912946,16.48916626,14.22499943,18.38083267,16.57749939
UG201100000004,UGGE61FL,UG,2011,4,UG2011DHS,202132.1719,238943.8906,281348.8438,119.8416672,87.57500458,145.5500031,138.7583313,32.38964081,22.45512772,38.05228806,39.36406708,0.956833493,0.977188977,0.993124962,31.19181824,31.77833366,32.58000183,33.06999969,12.35833359,12.13333321,12.09166718,11.46666718,-9999,2603,2851,2866,2723,2578,2332,2366,0,0,0,0,92.4,946.7068481,14,0,0,0.191424812,0.39097545,24.81727219,25.47333336,26.09000015,26.40333366,0,0,0,0,0,0.221400306,0.199062258,0.121804446,0.095023088,0.190337762,0.153389305,0.078083143,0.064825028,29.18333435,29.66666794,29.51666641,28.85833359,22.96666718,23.57500076,23.45000076,23.09166718,16.82500076,17.53333282,17.42500114,17.39166641,17.39734977,19.60000038,19.73666573,18.44272804,19.16833305,19.60000038,19.73666573,3.700000048,3.900000095,3.825000048,3.525000095,144178.9513,184280.4779,8303.981173,1066,1188,1304,1252,1102,1253,1271,0.300142697,3,3,3,21.88100052,20.80599976,21.77099991,22.32500076,22.24500084,20.53199959,21.08099937,22.31599998,21.54899979,21.85899925,21.89800072,21.35000038,3.071428571,0,1976.87793,2333.415039,2758.369873,3247.893311,82158.29688,98805.23438,118383.4063,140500.5938,6819.454241,8201.214286,9826.279018,11662.09152,16.48916626,14.22499943,18.38083267,16.57749939
UG201100000006,UGGE61FL,UG,2011,6,UG2011DHS,112349.4297,132810.1875,156379.7813,119.8416672,87.57500458,145.5500031,138.7583313,32.38964081,22.45512772,38.05228806,39.36406708,0.881406239,0.911231109,0.918542385,32.45727158,32.65333176,33.04666519,33.26333237,12.35833359,12.13333321,12.09166718,11.46666718,-9999,3131,3039,3004,3015,2813,2402,2369,0,0,0,0,89.57142857,946.7068481,14,0,0,0.191424812,0.39097545,25.60090828,26.22249985,26.5391674,26.59499931,0,0,0,0,0,0.221400306,0.199062258,0.121804446,0.095023088,0.190337762,0.153389305,0.078083143,0.064825028,29.18333435,29.66666794,29.51666641,28.85833359,22.96666718,23.57500076,23.45000076,23.09166718,16.82500076,17.53333282,17.42500114,17.39166641,22.30657856,20.0316658,19.92666626,18.74454498,19.79166603,20.0316658,19.92666626,3.700000048,3.900000095,3.825000048,3.525000095,146347.6173,185362.1165,8370.840565,1066,1188,1304,1252,1102,1253,1271,0.411239522,3,3,3,21.88100052,20.80599976,21.77099991,22.32500076,22.24500084,20.53199959,21.08099937,22.31599998,21.54899979,21.85899925,21.89800072,21.35000038,1.571428571,0,1078.30026,1272.775651,1504.570052,1771.583333,75690.00781,91028.28906,109067.8438,129447.3125,6282.574777,7555.713728,9053.069754,10744.64844,16.48916626,14.22499943,18.38083267,16.57749939
UG201100000008,UGGE61FL,UG,2011,8,UG2011DHS,210708.7188,249082.3906,293286.5938,119.8416672,87.57500458,145.5500031,138.7583313,32.38964081,22.45512772,38.05228806,39.36406708,0.732127703,0.939625373,0.983511411,30.6772728,30.68666649,31.83666611,32.74333191,12.35833359,12.13333321,12.09166718,11.46666718,-9999,3916,3821,3856,3901,3925,3432,3486,0,0,0,0,80.57142857,946.7068481,14,0,0,0.211786806,0.426667667,24.06090927,24.68083382,25.47916603,25.95083427,14.99631718,322.6524833,21.80360849,2.573811667,5.508737837,0.224839106,0.203252047,0.122157589,0.09574835,0.192563549,0.156405941,0.077684619,0.065276004,29.18333435,29.66666794,29.51666641,28.85833359,22.96666718,23.57500076,23.45000076,23.09166718,16.82500076,17.53333282,17.42500114,17.39166641,4.859643046,19.12166595,19.15833282,17.44454575,18.67499924,19.12166595,19.15833282,3.700000048,3.900000095,3.825000048,3.525000095,151022.9401,181751.7479,11839.73901,1093,1205,1238,1267,1082,1251,1244,0.482043198,3,3,3,21.89599991,20.81299973,21.68200111,22.26799965,22.14100075,20.46999931,21.04500008,22.31500053,21.54500008,21.83300018,21.81900024,21.30400085,6.214285714,0,1937.691406,2287.160993,2703.692243,3183.511719,94031.20313,113131.3203,135605.9531,161011.4063,7805.002232,9390.397321,11255.88951,13364.6529,16.48916626,14.22499943,18.38083267,16.57749939
UG201100000009,UGGE61FL,UG,2011,9,UG2011DHS,206850.2188,244521.2031,287915.9375,119.8416672,87.57500458,145.5500031,138.7583313,32.38964081,22.45512772,38.05228806,39.36406708,0.748115063,0.962476015,0.993005673,30.6772728,30.68666649,31.83666611,32.74333191,12.35833359,12.13333321,12.09166718,11.46666718,-9999,3916,3821,3856,3901,3925,3432,3486,0,0,0,0,80.35714286,946.7068481,14,0,0,0.211786806,0.426667667,24.06090927,24.68083382,25.47916603,25.95083427,43.37483433,840.4017857,48.57318987,6.329776219,20.38234602,0.224839106,0.203252047,0.122157589,0.09574835,0.192563549,0.156405941,0.077684619,0.065276004,29.18333435,29.66666794,29.51666641,28.85833359,22.96666718,23.57500076,23.45000076,23.09166718,16.82500076,17.53333282,17.42500114,17.39166641,5.908292609,19.12166595,19.15833282,17.44454575,18.67499924,19.12166595,19.15833282,3.700000048,3.900000095,3.825000048,3.525000095,150842.6109,181693.6314,12162.74686,1093,1205,1238,1267,1082,1251,1244,0.482720034,3,3,3,21.89599991,20.81299973,21.68200111,22.26799965,22.14100075,20.46999931,21.04500008,22.31500053,21.54500008,21.83300018,21.81900024,21.30400085,6,0,1995.649833,2355.572545,2784.562779,3278.734375,91222.3125,109783.9219,131632.7813,156341.3438,7571.849888,9112.545201,10926.09598,12977.01563,16.48916626,14.22499943,18.38083267,16.57749939
UG201100000011,UGGE61FL,UG,2011,11,UG2011DHS,198031.5313,234096.4688,275641.1563,119.8416672,87.57500458,145.5500031,138.7583313,32.38964081,22.45512772,38.05228806,39.36406708,0.727679473,0.944889509,0.978162032,32.45727158,32.65333176,33.04666519,33.26333237,12.35833359,12.13333321,12.09166718,11.46666718,-9999,3131,3039,3004,3015,2813,2402,2369,0,0,0,0,79.42857143,946.7068481,14,0,0,0.211786806,0.426667667,25.60090828,26.22249985,26.5391674,26.59499931,49.72987584,876.7530692,70.30944388,9.208398002,24.31827,0.224839106,0.203252047,0.122157589,0.09574835,0.192563549,0.156405941,0.077684619,0.065276004,29.18333435,29.66666794,29.51666641,28.85833359,22.96666718,23.57500076,23.45000076,23.09166718,16.82500076,17.53333282,17.42500114,17.39166641,5.887711097,20.0316658,19.92666626,18.74454498,19.79166603,20.0316658,19.92666626,3.700000048,3.900000095,3.825000048,3.525000095,150624.7886,181775.5278,12268.7863,1093,1205,1238,1267,1082,1251,1244,0.489202295,3,3,3,21.89599991,20.81299973,21.68200111,22.26799965,22.14100075,20.46999931,21.04500008,22.31500053,21.54500008,21.83300018,21.81900024,21.30400085,6.142857143,0,1873.755249,2211.693848,2614.481201,3078.468506,81335.625,98002.84375,117650.5156,139908.2188,6751.212054,8134.664063,9765.506696,11612.9933,16.48916626,14.22499943,18.38083267,16.57749939
UG201100000013,UGGE61FL,UG,2011,13,UG2011DHS,103257.4766,122062.4297,143724.6406,119.8416672,87.57500458,145.5500031,138.7583313,32.38964081,22.45512772,38.05228806,39.36406708,0.46331611,0.73151427,0.944309748,30.6772728,30.68666649,31.83666611,32.74333191,12.35833359,12.13333321,12.09166718,11.46666718,-9999,3916,3821,3856,3901,3925,3432,3486,0,0,0,0,75.26666667,946.7068481,14,0,0,0.298702037,0.570168163,24.06090927,24.68083382,25.47916603,25.95083427,111.51014,2232.745052,147.9806803,49.75433757,79.53085938,0.291004628,0.269647837,0.172111452,0.124950811,0.269772142,0.233806372,0.121827662,0.089269891,29.18333435,29.66666794,29.51666641,28.85833359,22.96666718,23.57500076,23.45000076,23.09166718,16.82500076,17.53333282,17.42500114,17.39166641,4.524755446,19.12166595,19.15833282,17.44454575,18.67499924,19.12166595,19.15833282,3.700000048,3.900000095,3.825000048,3.525000095,152778.9014,179549.5614,14213.82089,1093,1205,1238,1267,1082,1251,1244,0.384553083,3,3,3,21.89599991,20.81299973,21.68200111,22.26799965,22.14100075,20.46999931,21.04500008,22.31500053,21.54500008,21.83300018,21.81900024,21.30400085,7.866666667,0,1038.313756,1225.577427,1448.776088,1705.887835,63830.98047,77221.71875,93082.48438,111151.0781,4945.041667,5982.434375,7211.18125,8610.971875,16.48916626,14.22499943,18.38083267,16.57749939
UG201100000014,UGGE61FL,UG,2011,14,UG2011DHS,121310.8672,143403.6563,168853.25,119.8416672,87.57500458,145.5500031,138.7583313,32.38964081,22.45512772,38.05228806,39.36406708,0.582304546,0.849447523,0.961924417,30.6772728,30.68666649,31.83666611,32.74333191,12.35833359,12.13333321,12.09166718,11.46666718,-9999,3916,3821,3856,3901,3925,3432,3486,0,0,0,0,77.8125,946.7068481,14,0,0,0.298702037,0.570168163,24.06090927,24.68083382,25.47916603,25.95083427,76.10855103,1987.622192,105.395752,33.70810699,66.47647095,0.291004628,0.269647837,0.172111452,0.124950811,0.269772142,0.233806372,0.121827662,0.089269891,29.18333435,29.66666794,29.51666641,28.85833359,22.96666718,23.57500076,23.45000076,23.09166718,16.82500076,17.53333282,17.42500114,17.39166641,4.528238231,19.12166595,19.15833282,17.44454575,18.67499924,19.12166595,19.15833282,3.700000048,3.900000095,3.825000048,3.525000095,152448.0435,180135.0683,13439.11753,1093,1205,1238,1267,1082,1251,1244,0.408552438,3,3,3,21.89599991,20.81299973,21.68200111,22.26799965,22.14100075,20.46999931,21.04500008,22.31500053,21.54500008,21.83300018,21.81900024,21.30400085,7.625,0,1301.910457,1536.714694,1816.576923,2138.961388,85720.8125,103383.2266,124227.5234,147872.2031,6225.811523,7508.614258,9022.513672,10739.80176,16.48916626,14.22499943,18.38083267,16.57749939
UG201100000016,UGGE61FL,UG,2011,16,UG2011DHS,84761.46875,100198,117979.9531,119.8416672,87.57500458,145.5500031,138.7583313,32.38964081,22.45512772,38.05228806,39.36406708,0.48444472,0.798658507,0.943362781,30.6772728,30.68666649,31.83666611,32.74333191,12.35833359,12.13333321,12.09166718,11.46666718,-9999,3916,3821,3856,3901,3925,3432,3486,0,0,0,0,79,946.7068481,14,0,0,0.211786806,0.426667667,24.06090927,24.68083382,25.47916603,25.95083427,15.57003479,1113.806771,35.87163086,51.22023926,15.71144206,0.224839106,0.203252047,0.122157589,0.09574835,0.192563549,0.156405941,0.077684619,0.065276004,29.18333435,29.66666794,29.51666641,28.85833359,22.96666718,23.57500076,23.45000076,23.09166718,16.82500076,17.53333282,17.42500114,17.39166641,2.069724528,19.12166595,19.15833282,17.44454575,18.67499924,19.12166595,19.15833282,3.700000048,3.900000095,3.825000048,3.525000095,151367.177,181296.0961,11794.50359,1093,1205,1238,1267,1082,1251,1244,0.426165867,3,3,3,21.89599991,20.81299973,21.68200111,22.26799965,22.14100075,20.46999931,21.04500008,22.31500053,21.54500008,21.83300018,21.81900024,21.30400085,8.6,0,938.1908482,1107.396973,1309.072963,1541.391881,102645.7656,123436.8594,147886.8438,175505.9688,7952.053125,9562.75625,11456.91875,13596.59583,16.48916626,14.22499943,18.38083267,16.57749939
