"","X","whsd","sd1","hv204","hv206","hv207","hv208","hv209","hv210","hv211","hv212","hv216","hv225","hv227","hv237","hv243a","hml1","Annual_Precipitation_2015","Aridity_2015","Day_Land_Surface_Temp_2015","Diurl_Temperature_Range_2015","Enhanced_Vegetation_Index_2015","Global_Human_Footprint","Growing_Season_Length","Irrigation","Land_Surface_Temperature_2015","ITN_Coverage_2015","Mean_Temperature_2015","Nightlights_Composite","Night_Land_Surface_Temp_2015","PET_2015","Proximity_to_tiol_Borders","Proximity_to_Protected_Areas","Proximity_to_Water","Rainfall_2015","Travel_Times_2015","UN_Population_Density_2015","Wet_Days_2015","v025","washhands","smoke"
"1",1,"-35",0,5,0,0,0,0,0,0,0,4,0,1,1,0,2,113.27,37.34,27.76,11.48,3437.9,35.08,11,4.1,21.68,0.77,20.02,0.07,15.61,3.03,24138.49,31082.39,35146.85,1145.91,43.12,581.7,15.18,"rural",1,0
"2",13,"152",0,30,0,1,0,0,1,0,0,1,0,1,1,1,2,113.27,37.34,27.76,11.48,3437.9,35.08,11,4.1,21.68,0.77,20.02,0.07,15.61,3.03,24138.49,31082.39,35146.85,1145.91,43.12,581.7,15.18,"rural",0,1
"3",15,"152",0,30,0,1,0,0,1,0,0,1,0,1,1,1,2,113.27,37.34,27.76,11.48,3437.9,35.08,11,4.1,21.68,0.77,20.02,0.07,15.61,3.03,24138.49,31082.39,35146.85,1145.91,43.12,581.7,15.18,"rural",0,1
"4",17,"152",0,30,0,1,0,0,1,0,0,1,0,1,1,1,2,113.27,37.34,27.76,11.48,3437.9,35.08,11,4.1,21.68,0.77,20.02,0.07,15.61,3.03,24138.49,31082.39,35146.85,1145.91,43.12,581.7,15.18,"rural",0,1
"5",18,"-58",0,40,0,1,0,0,0,0,0,4,0,1,1,1,3,113.27,37.34,27.76,11.48,3437.9,35.08,11,4.1,21.68,0.77,20.02,0.07,15.61,3.03,24138.49,31082.39,35146.85,1145.91,43.12,581.7,15.18,"rural",0,1
"6",19,"-58",0,40,0,1,0,0,0,0,0,4,0,1,1,1,3,113.27,37.34,27.76,11.48,3437.9,35.08,11,4.1,21.68,0.77,20.02,0.07,15.61,3.03,24138.49,31082.39,35146.85,1145.91,43.12,581.7,15.18,"rural",0,1
"7",20,"-58",0,40,0,1,0,0,0,0,0,4,0,1,1,1,3,113.27,37.34,27.76,11.48,3437.9,35.08,11,4.1,21.68,0.77,20.02,0.07,15.61,3.03,24138.49,31082.39,35146.85,1145.91,43.12,581.7,15.18,"rural",0,1
"8",21,"-58",0,40,0,1,0,0,0,0,0,4,0,1,1,1,3,113.27,37.34,27.76,11.48,3437.9,35.08,11,4.1,21.68,0.77,20.02,0.07,15.61,3.03,24138.49,31082.39,35146.85,1145.91,43.12,581.7,15.18,"rural",0,1
"9",26,"202",0,6,1,1,1,0,0,0,0,4,0,1,1,1,4,113.27,37.34,27.76,11.48,3437.9,35.08,11,4.1,21.68,0.77,20.02,0.07,15.61,3.03,24138.49,31082.39,35146.85,1145.91,43.12,581.7,15.18,"rural",1,1
"10",28,"202",0,6,1,1,1,0,0,0,0,4,0,1,1,1,4,113.27,37.34,27.76,11.48,3437.9,35.08,11,4.1,21.68,0.77,20.02,0.07,15.61,3.03,24138.49,31082.39,35146.85,1145.91,43.12,581.7,15.18,"rural",1,1
"11",30,"202",0,6,1,1,1,0,0,0,0,4,0,1,1,1,4,113.27,37.34,27.76,11.48,3437.9,35.08,11,4.1,21.68,0.77,20.02,0.07,15.61,3.03,24138.49,31082.39,35146.85,1145.91,43.12,581.7,15.18,"rural",1,1
"12",35,"-115",1,6,0,0,0,0,0,0,0,3,0,1,1,0,2,113.27,37.34,27.76,11.48,3437.9,35.08,11,4.1,21.68,0.77,20.02,0.07,15.61,3.03,24138.49,31082.39,35146.85,1145.91,43.12,581.7,15.18,"rural",1,1
"13",46,"-70",0,10,0,0,0,0,0,0,0,1,0,1,0,0,2,113.27,37.34,27.76,11.48,3437.9,35.08,11,4.1,21.68,0.77,20.02,0.07,15.61,3.03,24138.49,31082.39,35146.85,1145.91,43.12,581.7,15.18,"rural",1,0
"14",47,"-70",0,10,0,0,0,0,0,0,0,1,0,1,0,0,2,113.27,37.34,27.76,11.48,3437.9,35.08,11,4.1,21.68,0.77,20.02,0.07,15.61,3.03,24138.49,31082.39,35146.85,1145.91,43.12,581.7,15.18,"rural",1,0
"15",72,"-57",0,996,1,1,0,0,0,0,0,2,0,1,1,1,1,101.38,35.06,29.51,12.26,3682,37.38,11,2.91,22.88,0.81,19.67,1.29,16.24,2.89,40401.82,26672.21,11274.41,856,0.81,886.14,16.53,"urban",0,1
"16",73,"-10",1,30,1,0,0,0,0,0,0,1,0,1,1,0,1,101.38,35.06,29.51,12.26,3682,37.38,11,2.91,22.88,0.81,19.67,1.29,16.24,2.89,40401.82,26672.21,11274.41,856,0.81,886.14,16.53,"urban",0,1
"17",74,"-10",1,30,1,0,0,0,0,0,0,1,0,1,1,0,1,101.38,35.06,29.51,12.26,3682,37.38,11,2.91,22.88,0.81,19.67,1.29,16.24,2.89,40401.82,26672.21,11274.41,856,0.81,886.14,16.53,"urban",0,1
"18",75,"-10",1,30,1,0,0,0,0,0,0,1,0,1,1,0,1,101.38,35.06,29.51,12.26,3682,37.38,11,2.91,22.88,0.81,19.67,1.29,16.24,2.89,40401.82,26672.21,11274.41,856,0.81,886.14,16.53,"urban",0,1
